target_class,start_frame,end_frame,update_id,donor_count,x,y,error_dx,error_dy,center_error,iou,valid,boundary
large_launcher,2,3,large_launcher:3,9,3546.0,526.0,-12.0,5.0,13.0,0.7735359962295275,1,0
large_launcher,3,4,large_launcher:4,10,3557.0,584.0,-11.0,4.5,11.884864324004713,0.7919375812743823,1,0
large_launcher,4,5,large_launcher:5,10,3568.0,643.0,-11.5,4.75,12.442367138129304,0.7846778285134449,1,0
large_launcher,5,6,large_launcher:6,10,3579.5,702.5,-11.5,3.75,12.095970403402944,0.7996705487963471,1,0
large_launcher,6,7,large_launcher:7,11,3591.0,763.5,-10.5,3.5,11.067971810589327,0.8150282355652876,1,0
large_launcher,7,8,large_launcher:8,11,3602.5,825.0,-10.5,2.5,10.793516572461451,0.8308630714855775,1,0
large_launcher,8,9,large_launcher:9,10,3614.5,887.5,-11.25,-2.75,11.58123482190047,0.8199433607148511,1,0
large_launcher,9,10,large_launcher:10,10,3626.5,951.0,-11.5,-2.0,11.672617529928752,0.8285456289858344,1,0
large_launcher,10,11,large_launcher:11,9,3638.5,1015.0,-13.5,-2.0,13.647344063956181,0.8085642317380353,1,0
large_launcher,11,12,large_launcher:12,9,3651.0,1080.0,-13.0,-2.5,13.238202294873727,0.8082597857575962,1,0
large_launcher,12,13,large_launcher:13,8,3663.5,1146.0,-12.25,-3.0,12.61199825562944,0.8105302534368278,1,0
large_launcher,13,14,large_launcher:14,8,3676.5,1213.0,-12.0,-2.5,12.257650672131263,0.8212550741997737,1,0
large_launcher,14,15,large_launcher:15,9,3689.0,1281.0,-10.5,-3.5,11.067971810589327,0.8240504665527665,1,0
large_launcher,15,16,large_launcher:16,9,3702.0,1350.5,-11.0,-3.0,11.40175425099138,0.8273985704868875,1,0
large_launcher,16,17,large_launcher:17,9,3715.5,1420.0,-11.5,-3.5,12.020815280171307,0.8163701067615659,1,0
large_launcher,17,18,large_launcher:18,9,3729.0,1491.0,-11.0,-6.5,12.776932339180638,0.7815879780472998,1,0
large_launcher,18,19,large_launcher:19,8,3742.5,1563.0,-13.25,-8.75,15.878444508200417,0.7342599118025758,1,0
large_launcher,19,20,large_launcher:20,8,3756.5,1636.5,-9.25,-8.5,12.562344526401112,0.7703711557531948,1,1
large_launcher,20,21,large_launcher:21,9,3763.5,1710.5,-10.5,-11.0,15.20690632574555,0.7194484070375654,1,1
large_launcher,21,22,large_launcher:22,9,3770.5,1786.5,-10.0,-11.0,14.866068747318506,0.7153613367505032,1,1
large_launcher,22,23,large_launcher:23,8,3777.0,1863.0,-11.25,-10.75,15.560366319595435,0.6929282832970407,1,1
large_launcher,23,24,large_launcher:24,7,3784.0,1941.0,-14.5,-11.0,18.200274723201296,0.6335803159513491,1,1
large_tower,6,7,large_tower:7,11,3423.0,13.0,-9.0,33.0,34.20526275297414,0.14213197969543148,0,1
