model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,7,8-<16,63,63,1.0,0,0.0,0.01594716294888225,0.0,77.47257579298626,1.498168046941431,3.9365079365079363,3.3968253968253967
M2_SHARED_OPEN_LOOP,7,>32,3,3,1.0,0,0.0,0.1702283955735028,0.1702264677471289,99.22827218086587,0.8269022681738822,10.0,61.333333333333336
M2_SHARED_OPEN_LOOP,8,16-32,39,39,1.0,1,0.02564102564102564,0.1680106417940548,0.13827527612574342,84.77175237070423,0.8592921848736382,10.35897435897436,6.256410256410256
M2_SHARED_OPEN_LOOP,8,4-<8,32,32,1.0,0,0.0,0.0005817497806240923,0.0,52.311809315352306,2.6075773205099293,1.65625,1.03125
M2_SHARED_OPEN_LOOP,8,8-<16,56,56,1.0,0,0.0,0.00965873572002374,0.0,87.29112822967669,1.6977846602829127,4.053571428571429,3.8214285714285716
M2_SHARED_OPEN_LOOP,8,>32,2,2,1.0,0,0.0,0.13919410868106039,0.13919410868106039,96.75567691921594,1.5642502414087307,11.5,85.5
M2_SHARED_OPEN_LOOP,9,16-32,36,36,1.0,1,0.027777777777777776,0.12872564565535435,0.08064183624735333,99.06231616728081,0.967024522204323,11.25,6.944444444444445
M2_SHARED_OPEN_LOOP,9,4-<8,30,30,1.0,0,0.0,0.00022837847145693762,0.0,57.90381593147932,2.920148990754232,1.9,1.2
M2_SHARED_OPEN_LOOP,9,8-<16,50,50,1.0,0,0.0,0.00520962173648618,0.0,97.7068911628168,1.8910438409069634,3.88,4.32
M2_SHARED_OPEN_LOOP,9,>32,1,1,1.0,0,0.0,0.10969148518343366,0.10969148518343366,93.21111789910043,2.390028664079498,13.0,125.0
M2_SHARED_OPEN_LOOP,10,16-32,33,33,1.0,0,0.0,0.09191924025251708,0.04898792311617622,110.51018052650171,1.0695575950589358,12.030303030303031,7.636363636363637
M2_SHARED_OPEN_LOOP,10,4-<8,28,28,1.0,0,0.0,6.098056752581511e-05,0.0,61.25421036783515,3.1388562435807783,2.1785714285714284,1.3571428571428572
M2_SHARED_OPEN_LOOP,10,8-<16,45,45,1.0,0,0.0,0.0023505647657499416,0.0,106.4377752492037,2.0890377614283584,4.333333333333333,4.8
M2_SHARED_OPEN_LOOP,11,16-32,30,30,1.0,0,0.0,0.06837240705634852,0.025574842963621745,125.89239421329292,1.169994583809963,12.966666666666667,8.3
M2_SHARED_OPEN_LOOP,11,4-<8,26,26,1.0,0,0.0,5.972288580984233e-05,0.0,68.90584443683497,3.545248235961321,2.423076923076923,1.5
M2_SHARED_OPEN_LOOP,11,8-<16,40,40,1.0,0,0.0,0.0006352773783247958,0.0,115.77508095155073,2.2697764595224292,4.825,5.4
M2_SHARED_OPEN_LOOP,12,16-32,27,27,1.0,0,0.0,0.04971958591677076,0.001014552487238832,137.87675656179326,1.2865643916587686,13.814814814814815,8.88888888888889
M2_SHARED_OPEN_LOOP,12,4-<8,24,24,1.0,0,0.0,0.0,0.0,75.46262615441819,3.9439717256100524,2.625,1.625
M2_SHARED_OPEN_LOOP,12,8-<16,35,35,1.0,0,0.0,0.0,0.0,127.06297651164952,2.4671038298356116,5.257142857142857,5.571428571428571
M2_SHARED_OPEN_LOOP,13,16-32,24,24,1.0,0,0.0,0.04548235169470747,0.0,146.02064279238152,1.4023107735994174,14.708333333333334,9.541666666666666
M2_SHARED_OPEN_LOOP,13,4-<8,22,22,1.0,0,0.0,0.0,0.0,84.12036706973551,4.361287827865684,2.8636363636363638,1.7727272727272727
M2_SHARED_OPEN_LOOP,13,8-<16,31,31,1.0,0,0.0,0.0,0.0,137.93114224133723,2.6263371477835,5.645161290322581,6.129032258064516
M2_SHARED_OPEN_LOOP,14,16-32,21,21,1.0,0,0.0,0.04706645421073096,0.0,160.68136170695095,1.5074753534969851,15.619047619047619,10.238095238095237
M2_SHARED_OPEN_LOOP,14,4-<8,20,20,1.0,0,0.0,0.0,0.0,93.3893679215956,4.926619262505404,3.05,1.9
M2_SHARED_OPEN_LOOP,14,8-<16,27,27,1.0,0,0.0,0.0,0.0,141.1523999087511,2.7485450696686784,5.962962962962963,6.7407407407407405
M2_SHARED_OPEN_LOOP,15,16-32,18,18,1.0,0,0.0,0.03226594690874213,0.0,169.0691678019762,1.567177136746921,16.444444444444443,10.777777777777779
M2_SHARED_OPEN_LOOP,15,4-<8,18,18,1.0,0,0.0,0.0,0.0,101.40171765056235,5.315894164093956,3.1666666666666665,2.0
M2_SHARED_OPEN_LOOP,15,8-<16,23,23,1.0,0,0.0,0.0,0.0,149.41761944295592,2.9042899304305,6.3478260869565215,7.478260869565218
