model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M0_HOLD,22,1,3,3,1.0,0,0.0,0.0,0.0,1493.4045834937028,15.937225365620284,28.333333333333332,8.333333333333334
M0_HOLD,23,0,2,2,1.0,0,0.0,0.0,0.0,1493.0526886723035,84.64269695359272,5.5,3.0
M0_HOLD,23,1,2,2,1.0,0,0.0,0.0,0.0,1493.5260395778396,21.87751758313739,26.5,9.0
M1_INDEPENDENT_CV,1,0,204,204,1.0,204,1.0,0.9414604120946503,0.9540977115635797,1.118033988749895,0.019990390603446397,0.7647058823529411,0.7647058823529411
M1_INDEPENDENT_CV,1,1,23,23,1.0,23,1.0,0.8553740427804115,0.9238057639163048,8.5,0.15971914124998499,2.0434782608695654,19.782608695652176
M1_INDEPENDENT_CV,2,0,189,189,1.0,188,0.9947089947089947,0.8575202171053834,0.8818119107840883,2.9154759474226504,0.05335756605524754,1.1904761904761905,1.343915343915344
M1_INDEPENDENT_CV,2,1,23,23,1.0,19,0.8260869565217391,0.7531002951339048,0.8506944444444444,17.5,0.3333333333333333,4.913043478260869,36.52173913043478
M1_INDEPENDENT_CV,3,0,175,175,1.0,164,0.9371428571428572,0.7517650960090123,0.7829787234042553,5.5901699437494745,0.10406162272638336,1.7314285714285715,1.7428571428571429
M1_INDEPENDENT_CV,3,1,22,22,1.0,15,0.6818181818181818,0.6449784664671874,0.7595005482741697,19.78988270581234,0.5554215819942951,9.227272727272727,48.72727272727273
M1_INDEPENDENT_CV,4,0,162,162,1.0,132,0.8148148148148148,0.635152451151072,0.6659597836932948,9.12414379544733,0.18163100603484092,2.191358024691358,2.2098765432098766
M1_INDEPENDENT_CV,4,1,20,20,1.0,14,0.7,0.5910371191211018,0.6581889811595742,19.49548441806421,0.4265256081784292,12.95,55.1
M1_INDEPENDENT_CV,5,0,150,150,1.0,92,0.6133333333333333,0.5180777344120238,0.5546344859446249,13.601470508735444,0.2613791469169068,2.7,2.68
M1_INDEPENDENT_CV,5,1,18,18,1.0,12,0.6666666666666666,0.5174710732684706,0.5839858994536358,21.790898407631513,0.3480576281199112,18.5,61.611111111111114
