model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,10,106,106,1.0,0,0.0,0.029630356591344657,0.0,102.52067598797365,1.897459441400346,6.160377358490566,4.773584905660377
M2_SHARED_OPEN_LOOP,11,96,96,1.0,0,0.0,0.021647251060984408,0.0,112.73162005206288,2.007503388292493,6.71875,5.25
M2_SHARED_OPEN_LOOP,12,86,86,1.0,0,0.0,0.015609637438986168,0.0,121.13210409350465,2.213548638305398,7.209302325581396,5.511627906976744
M2_SHARED_OPEN_LOOP,13,77,77,1.0,0,0.0,0.014176317411337394,0.0,128.6905202413915,2.3297479894710595,7.675324675324675,5.9480519480519485
M2_SHARED_OPEN_LOOP,14,68,68,1.0,0,0.0,0.01453522850625515,0.0,134.7620967559998,2.5225610520375676,8.088235294117647,6.397058823529412
M2_SHARED_OPEN_LOOP,15,59,59,1.0,0,0.0,0.00984384820944675,0.0,139.6893875711394,2.742334122204154,8.457627118644067,6.813559322033898
M2_SHARED_OPEN_LOOP,16,50,50,1.0,0,0.0,0.003250804275066793,0.0,146.84043139361205,2.7349589423685803,8.78,7.2
M2_SHARED_OPEN_LOOP,17,41,41,1.0,0,0.0,0.0013141058312835347,0.0,153.70751445521458,2.686232968957682,8.975609756097562,7.7560975609756095
M2_SHARED_OPEN_LOOP,18,32,32,1.0,0,0.0,0.0003939995330375905,0.0,146.66668347909226,2.673377200829865,9.03125,7.28125
M2_SHARED_OPEN_LOOP,19,25,25,1.0,0,0.0,0.00023093520984390493,0.0,148.43264465743377,2.9269932816749735,9.24,6.64
M2_SHARED_OPEN_LOOP,20,19,19,1.0,0,0.0,0.0006458118062731243,0.0,160.56307171949595,3.3450639941561655,9.842105263157896,7.368421052631579
M2_SHARED_OPEN_LOOP,21,13,13,1.0,0,0.0,0.0,0.0,168.2713582283093,3.561445525453005,11.615384615384615,8.153846153846153
M2_SHARED_OPEN_LOOP,22,8,8,1.0,0,0.0,0.0,0.0,182.0772206738352,3.3366352201848155,13.875,5.5
M2_SHARED_OPEN_LOOP,23,4,4,1.0,0,0.0,0.0,0.0,191.02771289451846,3.42252235121713,16.0,6.0
M3_ORACLE_REFRESHED_SHARED,1,227,227,1.0,175,0.7709251101321586,0.6123509953237649,0.609021199819576,10.920164833920778,0.20006249023742556,1.0572687224669604,2.101321585903084
M3_ORACLE_REFRESHED_SHARED,2,212,212,1.0,73,0.3443396226415094,0.40208195394479523,0.38042203379926787,21.66145567747198,0.3913335027595144,1.9339622641509433,2.8679245283018866
M3_ORACLE_REFRESHED_SHARED,3,197,197,1.0,36,0.18274111675126903,0.2708886989908714,0.2339085182141879,31.664254294077416,0.5821022034029862,2.751269035532995,3.3451776649746194
M3_ORACLE_REFRESHED_SHARED,4,182,182,1.0,8,0.04395604395604396,0.18701797923043237,0.12252699026109412,41.932236048447805,0.7621937418783737,3.4285714285714284,3.7472527472527473
M3_ORACLE_REFRESHED_SHARED,5,168,168,1.0,0,0.0,0.13345886738367546,0.055803002857453765,51.91625956449914,0.9602654282789016,4.0476190476190474,3.7976190476190474
M3_ORACLE_REFRESHED_SHARED,6,155,155,1.0,0,0.0,0.09757846322237139,0.009514271407110666,60.530983801686226,1.1506488467795208,4.612903225806452,4.232258064516129
M3_ORACLE_REFRESHED_SHARED,7,142,142,1.0,0,0.0,0.0724629868708763,0.0,69.60520643346162,1.3220627067514368,5.126760563380282,4.683098591549296
M3_ORACLE_REFRESHED_SHARED,8,129,129,1.0,0,0.0,0.05225197944954937,0.0,78.14449756700724,1.487567125928108,5.48062015503876,5.131782945736434
M3_ORACLE_REFRESHED_SHARED,9,117,117,1.0,0,0.0,0.03562361415581153,0.0,86.0559411080955,1.6671588750193442,5.717948717948718,5.358974358974359
M3_ORACLE_REFRESHED_SHARED,10,106,106,1.0,0,0.0,0.02259445826320641,0.0,94.48310436828902,1.830698776831987,6.160377358490566,4.773584905660377
M3_ORACLE_REFRESHED_SHARED,11,96,96,1.0,0,0.0,0.013476774613759984,0.0,102.06106276980549,1.9678918846216038,6.71875,5.25
M3_ORACLE_REFRESHED_SHARED,12,86,86,1.0,0,0.0,0.006458514412938223,0.0,109.63884753414902,2.148798801893312,7.209302325581396,5.511627906976744
M3_ORACLE_REFRESHED_SHARED,13,77,77,1.0,0,0.0,0.0017035239110920234,0.0,118.30178570080842,2.320440736996309,7.675324675324675,5.9480519480519485
M3_ORACLE_REFRESHED_SHARED,14,68,68,1.0,0,0.0,0.00044169581052771106,0.0,125.81111579708454,2.4856131233155994,8.088235294117647,6.397058823529412
