model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,2,small_launcher,22,22,1.0,2,0.09090909090909091,0.35322264984072577,0.3347411485736966,11.880900622870897,0.5484252009630657,0.36363636363636365,0.36363636363636365
M2_SHARED_OPEN_LOOP,2,small_plane,6,6,1.0,0,0.0,0.23169906388498138,0.22301915043687318,30.894971656193555,0.7184877129347338,0.8333333333333334,1.0
M2_SHARED_OPEN_LOOP,2,small_tower,17,17,1.0,2,0.11764705882352941,0.41559553871197663,0.37334762415148265,17.755280904564703,0.3855289616378948,1.0,2.4705882352941178
M2_SHARED_OPEN_LOOP,2,spacecraft,20,20,1.0,6,0.3,0.4186041708821639,0.3696508170606615,17.457037383634,0.3934643729618418,0.7,2.3
M2_SHARED_OPEN_LOOP,2,ta-ta,22,22,1.0,0,0.0,0.14792510550922502,0.14280375459574485,18.04854033252994,1.0117936467422273,0.5909090909090909,0.5909090909090909
M2_SHARED_OPEN_LOOP,2,tank,22,22,1.0,0,0.0,0.3112077972012164,0.3168701033440351,23.598017014025295,0.47827809033445035,0.6818181818181818,0.7272727272727273
M2_SHARED_OPEN_LOOP,3,condor,7,7,1.0,2,0.2857142857142857,0.48371614443396094,0.47956154373144555,46.735960458730275,0.28259897348718693,4.285714285714286,30.0
M2_SHARED_OPEN_LOOP,3,hangar,2,2,1.0,0,0.0,0.18920905911283445,0.18920905911283445,73.73383281073815,0.5698465850746933,4.5,45.5
M2_SHARED_OPEN_LOOP,3,helicopter,15,15,1.0,8,0.5333333333333333,0.5057093748826829,0.5231346107537239,27.064737205448715,0.2819243458900908,2.7333333333333334,6.733333333333333
M2_SHARED_OPEN_LOOP,3,jammer,9,9,1.0,0,0.0,0.043402135717785645,0.03288453325541145,41.11721050849632,1.2129731854318446,0.7777777777777778,2.2222222222222223
M2_SHARED_OPEN_LOOP,3,jet_plane,18,18,1.0,11,0.6111111111111112,0.5530490332764268,0.5880431721595606,18.744102212009143,0.23720589449077534,1.6111111111111112,2.0
