model_a,model_b,horizon,common_count,a_valid,b_valid,a_only_valid,b_only_valid
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,106,0,14,0,14
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,96,0,4,0,4
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,86,0,4,0,4
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,77,0,1,0,1
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,68,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,59,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,50,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,41,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,32,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,25,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,19,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,13,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,8,0,0,0,0
M1_INDEPENDENT_CV,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,4,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,1,232,174,175,8,9
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,2,217,73,73,5,5
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,3,202,37,36,8,7
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,4,187,13,8,9,4
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,5,172,5,0,5,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,6,158,3,0,3,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,7,145,2,0,2,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,8,132,1,0,1,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,9,120,1,0,1,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,10,108,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,11,98,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,12,88,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,13,79,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,14,70,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,15,61,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,16,52,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,17,43,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,18,34,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,19,26,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,20,20,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,21,14,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,22,8,0,0,0,0
M2_SHARED_OPEN_LOOP,M3_ORACLE_REFRESHED_SHARED,23,4,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,1,227,174,227,0,53
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,2,212,73,201,1,129
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,3,197,37,170,0,133
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,4,182,13,135,2,124
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,5,168,5,99,3,97
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,6,155,3,78,2,77
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,7,142,2,55,1,54
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,8,129,1,34,1,34
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,9,117,1,21,1,21
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,106,0,14,0,14
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,96,0,4,0,4
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,86,0,4,0,4
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,77,0,1,0,1
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,68,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,59,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,50,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,41,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,32,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,25,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,19,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,13,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,8,0,0,0,0
M2_SHARED_OPEN_LOOP,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,4,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,1,227,175,227,0,52
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,2,212,73,201,0,128
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,3,197,36,170,0,134
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,4,182,8,135,1,128
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,5,168,0,99,0,99
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,6,155,0,78,0,78
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,7,142,0,55,0,55
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,8,129,0,34,0,34
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,9,117,0,21,0,21
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,106,0,14,0,14
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,96,0,4,0,4
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,86,0,4,0,4
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,77,0,1,0,1
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,68,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,59,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,50,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,41,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,32,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,25,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,19,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,13,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,8,0,0,0,0
M3_ORACLE_REFRESHED_SHARED,M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,4,0,0,0,0
