model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M3_ORACLE_REFRESHED_SHARED,7,155,155,1.0,0,0.0,0.0730578532015268,0.0,70.0200864038313,1.3264878225182561,5.064516129032258,5.458064516129032
M3_ORACLE_REFRESHED_SHARED,8,142,142,1.0,0,0.0,0.05307426919286869,0.0,78.35689865018841,1.4958998190887258,5.542253521126761,5.971830985915493
M3_ORACLE_REFRESHED_SHARED,9,129,129,1.0,0,0.0,0.03653806165031758,0.0,86.33148324916003,1.6671588750193442,5.891472868217054,6.488372093023256
M3_ORACLE_REFRESHED_SHARED,10,117,117,1.0,0,0.0,0.023590855097676475,0.0,94.55719168841681,1.8436333507362763,6.136752136752137,6.589743589743589
M3_ORACLE_REFRESHED_SHARED,11,106,106,1.0,0,0.0,0.01383132785567932,0.0,102.06106276980549,1.9678918846216038,6.5754716981132075,6.1415094339622645
M3_ORACLE_REFRESHED_SHARED,12,96,96,1.0,0,0.0,0.006722830507900739,0.0,109.63884753414902,2.148798801893312,7.09375,6.614583333333333
M3_ORACLE_REFRESHED_SHARED,13,86,86,1.0,0,0.0,0.0018265961958347755,0.0,117.99722344968627,2.3120096808456028,7.593023255813954,7.034883720930233
M3_ORACLE_REFRESHED_SHARED,14,77,77,1.0,0,0.0,0.00039006902747901754,0.0,125.78578019792221,2.4328627531668086,8.03896103896104,7.597402597402597
M3_ORACLE_REFRESHED_SHARED,15,68,68,1.0,0,0.0,0.0,0.0,132.6170069970794,2.5868330250147027,8.441176470588236,8.191176470588236
M3_ORACLE_REFRESHED_SHARED,16,59,59,1.0,0,0.0,0.0,0.0,140.5384733800677,2.6938099094785497,8.796610169491526,8.779661016949152
M3_ORACLE_REFRESHED_SHARED,17,50,50,1.0,0,0.0,0.0,0.0,147.86064116602893,2.9731695523657287,9.06,9.5
M3_ORACLE_REFRESHED_SHARED,18,41,41,1.0,0,0.0,0.0,0.0,155.18879630952745,3.075438002271737,9.24390243902439,10.390243902439025
M3_ORACLE_REFRESHED_SHARED,19,32,32,1.0,0,0.0,0.0,0.0,161.56781624496114,3.2650550051986142,9.28125,9.90625
M3_ORACLE_REFRESHED_SHARED,20,25,25,1.0,0,0.0,0.0,0.0,168.2024449881749,3.171846408770727,9.36,10.0
M3_ORACLE_REFRESHED_SHARED,21,19,19,1.0,0,0.0,0.0,0.0,174.632829101518,3.4663518954569508,9.842105263157896,11.578947368421053
M3_ORACLE_REFRESHED_SHARED,22,13,13,1.0,0,0.0,0.0,0.0,180.5915626489787,4.432473296775426,11.615384615384615,10.538461538461538
M3_ORACLE_REFRESHED_SHARED,23,8,8,1.0,0,0.0,0.0,0.0,214.3444803979575,3.8048159194224755,13.875,9.625
M3_ORACLE_REFRESHED_SHARED,24,4,4,1.0,0,0.0,0.0,0.0,226.17296561203977,3.9828823576292067,15.75,13.5
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,1,243,227,0.934156378600823,227,1.0,0.9052158242890396,0.9323671497584541,1.4142135623730951,0.028971701781777184,0.8942731277533039,2.6916299559471364
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,2,227,212,0.933920704845815,201,0.9481132075471698,0.8219980716315256,0.8657623411370824,3.0413812651491097,0.06209579389678557,1.5943396226415094,5.160377358490566
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,3,212,197,0.9292452830188679,170,0.8629441624365483,0.7237388966576173,0.7748562037797864,5.533985905294664,0.11228361294222662,2.568527918781726,6.98984771573604
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,4,197,182,0.9238578680203046,135,0.7417582417582418,0.6214715121852532,0.664266675285297,9.340770846134703,0.16579130016052912,3.3736263736263736,8.021978021978022
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,5,182,168,0.9230769230769231,99,0.5892857142857143,0.5336559573577695,0.5845442503889011,13.17065479278964,0.2444594292427615,4.392857142857143,8.994047619047619
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,6,168,155,0.9226190476190477,78,0.5032258064516129,0.46080586861007594,0.5003762227238525,17.240939649566666,0.3245228538094476,4.961290322580645,10.709677419354838
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,7,155,142,0.9161290322580645,55,0.3873239436619718,0.39570621012893037,0.40857912483586245,21.635445401531094,0.4099543963816781,5.5,12.985915492957746
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,8,142,129,0.9084507042253521,34,0.26356589147286824,0.3398066245721612,0.3320715246301738,26.890983619049713,0.5056377041392605,6.069767441860465,15.503875968992247
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,9,129,117,0.9069767441860465,21,0.1794871794871795,0.2845301813689252,0.2666284403669725,31.544611267219636,0.5464244449698978,6.3076923076923075,15.94017094017094
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,10,117,106,0.905982905982906,14,0.1320754716981132,0.23211311334693535,0.20030714820919482,37.67584546336167,0.6770509303630381,6.89622641509434,16.92452830188679
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,11,106,96,0.9056603773584906,4,0.041666666666666664,0.1823152261035005,0.1284769949868214,44.212905062989435,0.815008382022679,7.364583333333333,20.40625
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,12,96,86,0.8958333333333334,4,0.046511627906976744,0.13912130930792746,0.05656706298332217,50.8138851517042,0.9763044485911309,8.116279069767442,23.3953488372093
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,13,86,77,0.8953488372093024,1,0.012987012987012988,0.10310242025778014,0.003925061938034128,59.942680954391754,1.217476899164826,8.61038961038961,27.493506493506494
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,14,77,68,0.8831168831168831,0,0.0,0.06849901179684491,0.0,68.87214500607757,1.4208692296044356,9.411764705882353,32.19117647058823
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,15,68,59,0.8676470588235294,0,0.0,0.03733681706538911,0.0,83.25337830983197,1.7074029733764695,10.084745762711865,39.28813559322034
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,16,59,50,0.847457627118644,0,0.0,0.01387085645691465,0.0,98.48924475425179,2.1335292227845923,11.9,47.68
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,17,50,41,0.82,0,0.0,0.004527558662021914,0.0,107.05606008068857,2.7257793325205184,11.878048780487806,59.90243902439025
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,18,41,32,0.7804878048780488,0,0.0,0.0007502469578208758,0.0,119.16889699348332,3.6322425263117157,12.65625,53.78125
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,19,32,25,0.78125,0,0.0,0.0,0.0,133.51521448883645,4.6901134806364375,15.04,68.64
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,20,25,19,0.76,0,0.0,0.0,0.0,146.3456951877984,5.4322602842501215,17.526315789473685,91.36842105263158
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,21,19,13,0.6842105263157895,0,0.0,0.0,0.0,152.37720466001468,5.942104099914062,19.0,60.53846153846154
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,22,13,8,0.6153846153846154,0,0.0,0.0,0.0,164.78618964950763,6.646245767375626,26.375,89.25
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,23,8,4,0.5,0,0.0,0.0,0.0,180.8067988059475,8.285502763813563,21.75,174.0
M4_ORACLE_REFRESHED_SHARED_RESIDUAL,24,4,0,0.0,0,,,,,,,
