model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
M2_SHARED_OPEN_LOOP,6,4-<8,33,33,1.0,0,0.0,0.010665739279923727,0.0,34.311076928595526,1.6113261253036792,1.9393939393939394,2.212121212121212
M2_SHARED_OPEN_LOOP,6,8-<16,67,67,1.0,0,0.0,0.03420128042413364,0.0,65.94126174103738,1.308166656049603,2.8358208955223883,4.507462686567164
M2_SHARED_OPEN_LOOP,6,<4,8,8,1.0,0,0.0,0.0,0.0,65.01167836231508,4.906556033727808,6.375,6.625
M2_SHARED_OPEN_LOOP,6,>32,2,2,1.0,0,0.0,0.2225589508843523,0.2225589508843523,97.88795691063609,0.560873035060576,8.5,9.5
M2_SHARED_OPEN_LOOP,7,16-32,42,42,1.0,2,0.047619047619047616,0.22005284426457752,0.191660183314481,74.91773327716766,0.7514950977756969,9.642857142857142,5.285714285714286
M2_SHARED_OPEN_LOOP,7,4-<8,31,31,1.0,0,0.0,0.0031709840539580897,0.0,37.33630940518894,1.7585634340204856,2.161290322580645,2.3870967741935485
M2_SHARED_OPEN_LOOP,7,8-<16,60,60,1.0,0,0.0,0.019870573615729935,0.0,77.2408965363119,1.4839640763682747,3.2,5.05
M2_SHARED_OPEN_LOOP,7,<4,8,8,1.0,0,0.0,0.0,0.0,71.80061827812105,5.518345323327596,6.75,6.875
M2_SHARED_OPEN_LOOP,7,>32,1,1,1.0,0,0.0,0.1732363331118184,0.1732363331118184,111.20954320560803,0.6354831040320459,10.0,11.0
M2_SHARED_OPEN_LOOP,8,16-32,39,39,1.0,1,0.02564102564102564,0.17161978527570307,0.1407565957842818,88.03550420143,0.8592921848736382,10.461538461538462,5.897435897435898
M2_SHARED_OPEN_LOOP,8,4-<8,28,28,1.0,0,0.0,0.0006648568921418197,0.0,40.206125411608866,1.8621860625196236,1.6428571428571428,2.5357142857142856
M2_SHARED_OPEN_LOOP,8,8-<16,54,54,1.0,0,0.0,0.012565200405540157,0.0,87.10836476228319,1.6913956053579244,3.6481481481481484,5.62962962962963
M2_SHARED_OPEN_LOOP,8,<4,8,8,1.0,0,0.0,0.0,0.0,82.95993133890548,5.981565316973796,7.0,7.125
M2_SHARED_OPEN_LOOP,9,16-32,35,35,1.0,1,0.02857142857142857,0.13240352124550733,0.0841342938490054,97.18281741130991,0.9667532466193782,11.314285714285715,5.514285714285714
