model,horizon,origin_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,9,>32,1,1,1.0,0,0.0,0.4073226544622426,0.4073226544622426,21.224985276791124,21.224985276791124,0.5442303917125929,5.0,143.0
CV,10,16-32,33,33,1.0,0,0.0,0.308326783805331,0.30995745316115547,56.745055374402604,51.12973694436536,0.5368891878218447,11.424242424242424,21.393939393939394
CV,10,4-<8,28,28,1.0,0,0.0,0.0,0.0,48.69093013162543,48.31436438084239,2.4923742744913726,4.035714285714286,4.285714285714286
CV,10,8-<16,45,45,1.0,0,0.0,0.043430665164459994,0.024693836579000202,57.639824363722774,50.039984012787215,0.9942977212987475,5.355555555555555,21.511111111111113
CV,11,16-32,30,30,1.0,0,0.0,0.23342289157042861,0.22902038899726931,67.79392283256492,60.61061967244603,0.6389417803884923,11.933333333333334,25.4
CV,11,4-<8,26,26,1.0,0,0.0,0.0,0.0,58.397368446493665,57.857559155655764,3.072913780639577,4.615384615384615,4.884615384615385
CV,11,8-<16,40,40,1.0,0,0.0,0.011273841572399626,0.0,69.13699261422701,60.05203996810623,1.1909399039409745,5.725,26.75
CV,12,16-32,27,27,1.0,0,0.0,0.16388884356587946,0.15919456156957232,79.81453556226955,71.68856254661549,0.7520050533327244,12.703703703703704,29.40740740740741
CV,12,4-<8,24,24,1.0,0,0.0,0.0,0.0,68.38824994389567,67.25470005802481,3.504764685814079,5.041666666666667,5.708333333333333
CV,12,8-<16,35,35,1.0,0,0.0,0.0011517373602705479,0.0,81.60265404720855,69.14658342969665,1.3406237242464774,6.685714285714286,30.885714285714286
CV,13,16-32,24,24,1.0,0,0.0,0.09539220872060528,0.0896312791667406,93.44204041502984,83.21399108737171,0.8629207847352811,13.583333333333334,34.166666666666664
CV,13,4-<8,22,22,1.0,0,0.0,0.0,0.0,79.2972175110523,77.10195446468468,4.1030833020204724,5.136363636363637,6.2727272727272725
CV,13,8-<16,31,31,1.0,0,0.0,0.0,0.0,95.53687827121354,80.94751385929032,1.5566829588325062,7.225806451612903,37.38709677419355
CV,14,16-32,21,21,1.0,0,0.0,0.03859413858562256,0.027206320810971973,107.90913336633238,96.20940702446929,0.9819666476924294,15.428571428571429,41.0
CV,14,4-<8,20,20,1.0,0,0.0,0.0,0.0,91.1329254467787,89.00672420017617,4.90373242053351,5.95,7.0
CV,14,8-<16,27,27,1.0,0,0.0,0.0,0.0,111.55419809871125,95.72094859538323,1.7941545247281927,7.296296296296297,44.0
CV,15,16-32,18,18,1.0,0,0.0,0.008581282245068145,0.0,124.45439653978922,109.56880722910947,1.1076701756977851,16.944444444444443,50.166666666666664
CV,15,4-<8,18,18,1.0,0,0.0,0.0,0.0,104.37183109110694,102.27537017487198,5.627773126529268,6.111111111111111,8.166666666666666
CV,15,8-<16,23,23,1.0,0,0.0,0.0,0.0,128.90668765835318,106.51877768731671,2.1209716429172674,7.826086956521739,55.130434782608695
CV,16,16-32,15,15,1.0,0,0.0,0.0,0.0,143.16832997608205,123.51619327035625,1.238835217547245,21.6,61.53333333333333
CV,16,4-<8,16,16,1.0,0,0.0,0.0,0.0,117.74644658160466,115.96055108140689,6.384442555902869,6.9375,8.5625
CV,16,8-<16,19,19,1.0,0,0.0,0.0,0.0,149.73246085792525,127.89155562428662,2.318263564092918,8.421052631578947,69.6842105263158
CV,17,16-32,12,12,1.0,0,0.0,0.0,0.0,165.09145333198748,137.79120600401936,1.3478600431802816,21.916666666666668,79.33333333333333
CV,17,4-<8,14,14,1.0,0,0.0,0.0,0.0,132.6978658089515,130.05821149194026,7.090085776442622,6.571428571428571,9.071428571428571
CV,17,8-<16,15,15,1.0,0,0.0,0.0,0.0,172.5108125131026,132.29701432761058,2.9364785530359345,8.8,91.8
CV,18,16-32,9,9,1.0,0,0.0,0.0,0.0,195.12819969538273,158.38244852255568,1.5228968697955414,26.88888888888889,102.66666666666667
CV,18,4-<8,12,12,1.0,0,0.0,0.0,0.0,146.42009713171794,144.47611192309367,7.867984262360803,6.166666666666667,10.166666666666666
CV,18,8-<16,11,11,1.0,0,0.0,0.0,0.0,170.4103817024659,147.1674216666175,3.2397340532999173,8.090909090909092,61.36363636363637
CV,19,16-32,7,7,1.0,0,0.0,0.0,0.0,229.84337000323225,177.1383639983163,1.6103487636210572,32.857142857142854,136.28571428571428
CV,19,4-<8,10,10,1.0,0,0.0,0.0,0.0,161.71274249477406,161.75038819782174,8.812616661763318,7.2,10.4
