model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_RES_SCALE,1,227,227,1.0,225,0.9911894273127754,0.9153276743323525,0.9443935698959902,2.2498625483637147,1.1587058099031118,0.021911048704194434,0.9918823401839483,2.21912366094756
S_RES_SCALE,2,212,212,1.0,201,0.9481132075471698,0.854061156795452,0.909810417572859,4.5089049240766945,2.036153185349659,0.042003102044633076,1.382134516222343,2.9630691038010424
S_RES_SCALE,3,197,197,1.0,182,0.9238578680203046,0.7899867382435296,0.8514047785515999,6.912757681397858,3.4190152119125723,0.06970682656083768,1.7941339488650985,3.3949798159089264
S_RES_SCALE,4,182,182,1.0,161,0.8846153846153846,0.7338066081223609,0.8026332791089215,9.035256862405571,5.421065816547767,0.10322772484129403,2.097475977726027,3.8722087004582404
S_RES_SCALE,5,168,168,1.0,141,0.8392857142857143,0.6872685216684634,0.750719045834686,11.233389593282398,7.019239913318432,0.14484050343315463,2.3545995473854373,3.966128345038302
S_RES_SCALE,6,155,155,1.0,120,0.7741935483870968,0.6382557947574239,0.6935504547654071,13.68240497854008,8.94646774556713,0.18361626196882053,2.552193815286755,4.5267958741605545
S_RES_SCALE,7,142,142,1.0,92,0.647887323943662,0.5826031367759807,0.6306974045162537,16.87262398887198,11.123064090865359,0.22927311205747702,2.6271637007686874,5.075061858405818
S_RES_SCALE,8,129,129,1.0,76,0.5891472868217055,0.5310927319468641,0.5631233114285547,19.977379218168107,13.231184505241442,0.2666433396249889,2.662881564793763,5.753604604245464
S_RES_SCALE,9,117,117,1.0,57,0.48717948717948717,0.47983795496560433,0.4938279435774052,22.772008318054596,17.17847353275921,0.3380504481654206,2.549155862233431,5.962251846990222
S_RES_SCALE,10,106,106,1.0,38,0.3584905660377358,0.42200185399767864,0.43698856888475157,26.79852037769072,18.863342239653626,0.4034092464037604,2.7474926671871684,5.295497148833281
S_RES_SCALE,11,96,96,1.0,32,0.3333333333333333,0.3744075222848795,0.3694472432678795,31.271738558661713,22.539923348455513,0.4715711882689113,2.9458860172498995,5.883403584580129
S_RES_SCALE,12,86,86,1.0,18,0.20930232558139536,0.3283215408791574,0.323705288657533,36.36203724466944,23.938677639105414,0.5193031749933568,3.284556765740976,6.177138817694507
S_RES_SCALE,13,77,77,1.0,12,0.15584415584415584,0.2776465002511819,0.2592888075699323,42.36841620002977,28.555589412550976,0.5864275401906679,3.6264542565389717,6.714229306521244
S_RES_SCALE,14,68,68,1.0,10,0.14705882352941177,0.24124374561991702,0.21602521777546102,48.35660572853043,31.78225578023843,0.6977050666633394,4.042081620760556,7.26285772750739
S_RES_SCALE,15,59,59,1.0,5,0.0847457627118644,0.19507506677869338,0.17053077041145503,55.92811393466994,33.262880108714015,0.7994180326540549,4.622436467239056,7.890929659217007
S_RES_SCALE,16,50,50,1.0,1,0.02,0.14863122590512223,0.11210790175940438,65.3701284363019,38.67538093495578,0.8938828367889279,5.359870874215319,8.524434578674265
S_RES_SCALE,17,41,41,1.0,1,0.024390243902439025,0.12412390483386466,0.07531200169452588,72.95094970283053,39.158489184508774,0.998928478956349,6.395802069271712,9.30785624186968
S_RES_SCALE,18,32,32,1.0,1,0.03125,0.1035435684381924,0.0333619506223483,72.51282285175517,38.791135815817555,1.1144555085206458,7.799138783451063,8.390538666361124
S_RES_SCALE,19,25,25,1.0,0,0.0,0.07812203885369838,0.0063556724469977285,83.99951278604505,41.82320279539699,1.299138306372964,9.969005498045409,7.83112023317156
S_RES_SCALE,20,19,19,1.0,1,0.05263157894736842,0.08513745761497656,0.0,99.47681682610319,43.130763569471924,1.863863606594325,12.078387305583826,8.890015740139294
S_RES_SCALE,21,13,13,1.0,1,0.07692307692307693,0.06994411713859947,0.0,87.70214680859984,46.12241728959396,2.187595457806405,14.698759780836737,10.610243535079952
S_RES_SCALE,22,8,8,1.0,0,0.0,0.06338581355966885,0.0,113.45512444024243,53.189788601367056,2.2420546515582283,18.11743022012881,7.609976451305641
S_RES_SCALE,23,4,4,1.0,0,0.0,0.0008505946324884928,0.0,172.0648198211381,107.21312359871436,3.055984627934831,19.853753851981025,7.860191862974688
S_SCALE,1,227,227,1.0,220,0.9691629955947136,0.8389897066285373,0.865744403456533,4.328007908549611,3.570017697316304,0.06788400100918694,0.9918823401839574,2.2191236609475657
S_SCALE,2,212,212,1.0,196,0.9245283018867925,0.7272493024634515,0.7657154744359742,7.817763593363758,6.916137264168986,0.12981872259835997,1.3821345162223402,2.9630691038010424
S_SCALE,3,197,197,1.0,152,0.7715736040609137,0.6416976438587015,0.6711569507311304,10.925642726408148,10.231570791457953,0.19505009150316227,1.7941339488650956,3.3949798159089286
