model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,21,8-<16,3,3,1.0,0,0.0,0.0,0.0,290.4262481855717,185.64818878728659,3.570157476678588,9.666666666666666,214.66666666666666
CV,21,<4,4,4,1.0,0,0.0,0.0,0.0,199.33761986536328,199.13970670423623,14.544363435857353,8.75,27.5
CV,22,16-32,2,2,1.0,0,0.0,0.0,0.0,224.13345513944242,224.13345513944242,2.2019501269827964,71.5,11.5
CV,22,4-<8,2,2,1.0,0,0.0,0.0,0.0,214.63163056941903,214.63163056941903,9.138188611003333,11.0,1.0
CV,22,8-<16,2,2,1.0,0,0.0,0.0,0.0,369.4582057841114,369.4582057841114,7.206989076261265,11.5,333.0
CV,22,<4,2,2,1.0,0,0.0,0.0,0.0,219.99292110140712,219.99292110140712,15.713780078671938,11.5,11.5
CV,23,16-32,1,1,1.0,0,0.0,0.0,0.0,240.96732143591586,240.96732143591586,2.5364981203780617,68.0,9.0
CV,23,4-<8,1,1,1.0,0,0.0,0.0,0.0,236.50211415545527,236.50211415545527,9.854254756477303,4.0,1.0
CV,23,8-<16,1,1,1.0,0,0.0,0.0,0.0,576.7531967835115,576.7531967835115,11.091407630452144,8.0,681.0
CV,23,<4,1,1,1.0,0,0.0,0.0,0.0,237.34047273905898,237.34047273905898,16.952890909932783,7.0,5.0
S_FIXED,1,16-32,62,62,1.0,61,0.9838709677419355,0.9100533406336414,0.9193904754945927,4.857883757030049,3.66160346981591,0.04223331031446449,1.919354838709678,2.6451612903225814
S_FIXED,1,4-<8,43,43,1.0,43,1.0,0.8036410094635803,0.8121829076718449,2.5961089488435087,2.088392273413329,0.10383239457669022,0.6511627906976745,1.5813953488372092
S_FIXED,1,8-<16,105,105,1.0,105,1.0,0.829530076788378,0.8270601656606065,4.4284537629675045,3.9505816472816697,0.07896078828571572,0.6095238095238096,1.7904761904761917
S_FIXED,1,<4,8,8,1.0,2,0.25,0.48135332947209275,0.425580650997226,7.164437674734268,6.887749605497409,0.4919821146783864,2.0,5.5
S_FIXED,1,>32,9,9,1.0,9,1.0,0.9250398476593786,0.9371922524263446,5.259241221685102,4.574607185725968,0.026889561734332382,1.4444444444444475,1.4444444444444413
S_FIXED,2,16-32,58,58,1.0,57,0.9827586206896551,0.8448573653627003,0.8476807689234978,8.481297025963114,7.027875478394304,0.08272380067463672,3.6896551724137927,3.36206896551724
S_FIXED,2,4-<8,41,41,1.0,35,0.8536585365853658,0.6613344621971878,0.6671508972900437,4.792723649199804,4.27818189037115,0.21588603652322302,1.1219512195121952,1.6829268292682955
S_FIXED,2,8-<16,97,97,1.0,94,0.9690721649484536,0.7055176077239281,0.6942861461809929,8.134681228753022,7.832265340496906,0.14595326308933199,0.9896907216494846,2.670103092783508
S_FIXED,2,<4,8,8,1.0,2,0.25,0.2939811758175213,0.23469541774418673,10.866637083779981,11.653199581854672,0.9422498947854678,3.75,5.625000000000007
S_FIXED,2,>32,8,8,1.0,8,1.0,0.8414236408998172,0.8770332603419502,11.618976101347746,9.712424043871106,0.05628120560400094,2.9999999999999964,5.0000000000000036
S_FIXED,3,16-32,54,54,1.0,54,1.0,0.794926987449807,0.7891397621189782,11.232072264319754,10.230718804071968,0.11953179049970292,5.296296296296297,2.7777777777777777
S_FIXED,3,4-<8,39,39,1.0,25,0.6410256410256411,0.5531874124727911,0.5611596843300517,6.9395942590527016,6.166127775945921,0.3240009008785327,1.3333333333333333,1.717948717948721
S_FIXED,3,8-<16,89,89,1.0,65,0.7303370786516854,0.6103755734128389,0.5886734012359813,11.2693136431281,11.218268815093543,0.21266126432646912,1.4382022471910112,3.134831460674157
S_FIXED,3,<4,8,8,1.0,2,0.25,0.22551560753171718,0.1259895507471045,14.510446412093813,13.706153805568121,0.9554293264891318,5.75,6.0
S_FIXED,3,>32,7,7,1.0,6,0.8571428571428571,0.7097124636417158,0.8196402450322696,22.30329331299026,14.897484574367587,0.08561772743889418,4.285714285714286,16.428571428571434
S_FIXED,4,16-32,51,51,1.0,51,1.0,0.7401498023896423,0.7208930905071395,14.637945550534411,13.620335083464438,0.15888521939692637,6.686274509803922,3.431372549019609
S_FIXED,4,4-<8,37,37,1.0,16,0.43243243243243246,0.4679845273515776,0.4859326937734665,9.110778603020536,8.120999441178894,0.41344472359377293,1.5675675675675675,1.9729729729729761
S_FIXED,4,8-<16,81,81,1.0,42,0.5185185185185185,0.5372579648995434,0.5240428443048,14.106327429315721,14.723426525501484,0.28332535417064525,1.8518518518518519,3.5432098765432163
S_FIXED,4,<4,8,8,1.0,2,0.25,0.2104453648435634,0.10791276734854101,17.078520521339335,14.176509232044246,0.9878066014558256,6.0,6.125
S_FIXED,4,>32,5,5,1.0,4,0.8,0.6593629592569035,0.775570335079071,27.783619204219463,19.065021697749366,0.10956909021695038,5.400000000000006,19.6
S_FIXED,5,16-32,48,48,1.0,45,0.9375,0.6899605174561362,0.6678582501940878,17.930014763988655,16.979114458410578,0.19601099678551037,7.833333333333333,4.020833333333336
S_FIXED,5,4-<8,35,35,1.0,10,0.2857142857142857,0.4008963566254068,0.39348480071171493,11.170095230477411,10.257906529521872,0.523010737601168,1.7142857142857142,2.028571428571432
S_FIXED,5,8-<16,74,74,1.0,31,0.4189189189189189,0.47615472774195955,0.45587666187550324,16.788102004667028,18.071278049305796,0.33139576449603203,2.3378378378378377,4.027027027027031
S_FIXED,5,<4,8,8,1.0,1,0.125,0.19316922823543994,0.09838015992218364,19.133925230892235,14.288872561744439,1.2031777108353148,6.25,6.5
S_FIXED,5,>32,3,3,1.0,3,1.0,0.730846875224528,0.731258237222028,23.472324448400972,23.484387564162834,0.13496774462162547,7.0,8.0
S_FIXED,6,16-32,45,45,1.0,41,0.9111111111111111,0.6441483232067091,0.6150970476542491,21.121225552540693,20.32793697853295,0.23529372500887463,8.733333333333333,4.644444444444445
S_FIXED,6,4-<8,33,33,1.0,8,0.24242424242424243,0.3457909412491494,0.34249248944055205,13.256465324213766,11.943394972526526,0.6184249152262133,1.9393939393939394,2.212121212121212
S_FIXED,6,8-<16,67,67,1.0,23,0.34328358208955223,0.427320203661662,0.4085298967145142,19.225525729729828,21.767522817260932,0.3920841675644806,2.8358208955223883,4.507462686567164
S_FIXED,6,<4,8,8,1.0,1,0.125,0.1698820343639718,0.09163047685698884,20.74592828321938,14.613156898398787,1.3537831776571823,6.375,6.625
S_FIXED,6,>32,2,2,1.0,2,1.0,0.6835765996929826,0.6835765996929826,28.605133871738666,28.605133871738666,0.16390991193771245,8.5,9.5
S_FIXED,7,16-32,42,42,1.0,35,0.8333333333333334,0.6014497841102602,0.5764082910064936,24.348369161363888,23.23603166934128,0.256634742136462,9.642857142857142,5.285714285714283
S_FIXED,7,4-<8,31,31,1.0,4,0.12903225806451613,0.29911522511290506,0.31341277861871664,15.189092609360568,13.352591421099675,0.7298259615609742,2.161290322580645,2.387096774193552
S_FIXED,7,8-<16,60,60,1.0,19,0.31666666666666665,0.38686423794428687,0.37602205809427125,21.320859935998346,23.731686650471126,0.4228296414805956,3.2,5.05
S_FIXED,7,<4,8,8,1.0,0,0.0,0.15933940914050318,0.0945477065060772,22.524929518099164,16.107416747873785,1.5168955948958414,6.75,6.875
S_FIXED,7,>32,1,1,1.0,1,1.0,0.6370583100490272,0.6370583100490272,33.76987956815433,33.76987956815433,0.1929707403894533,10.0,11.0
S_FIXED,8,16-32,39,39,1.0,25,0.6410256410256411,0.5615993992812868,0.5417298491737844,27.531582504824772,26.620029741181195,0.28336218357307774,10.461538461538462,5.897435897435893
S_FIXED,8,4-<8,28,28,1.0,3,0.10714285714285714,0.26559524560421366,0.2581667280376043,15.73049600427399,15.265670132563937,0.7656132239637317,1.6428571428571428,2.5357142857142896
S_FIXED,8,8-<16,54,54,1.0,12,0.2222222222222222,0.35014183938867066,0.3398789856841923,23.591158340312433,25.163423082660582,0.4642329802440104,3.6481481481481484,5.62962962962963
S_FIXED,8,<4,8,8,1.0,0,0.0,0.14987850121512455,0.10603198929303248,24.226071256027495,17.73141155792404,1.5570830387131882,7.0,7.125
S_FIXED,9,16-32,35,35,1.0,19,0.5428571428571428,0.5198693867222566,0.5137916631028764,31.126631621007828,30.19592124889732,0.31351319144661016,11.314285714285715,5.514285714285711
S_FIXED,9,4-<8,26,26,1.0,2,0.07692307692307693,0.2339171111357752,0.22681577284726084,17.394837471913903,16.8348322009465,0.8198069715112484,1.8846153846153846,2.807692307692312
S_FIXED,9,8-<16,49,49,1.0,8,0.16326530612244897,0.31193795461562174,0.3241047091703123,26.07911661428857,25.535232716431814,0.4977233980924709,4.183673469387755,6.204081632653057
S_FIXED,9,<4,7,7,1.0,0,0.0,0.14435326550012936,0.14672940402799556,20.21025382996796,19.4762429260825,1.4049411297767382,2.7142857142857144,8.142857142857142
S_FIXED,10,16-32,32,32,1.0,15,0.46875,0.4860267930705114,0.4784294069383172,34.34898558778678,33.626492112168236,0.36107696719235044,12.125,6.125
S_FIXED,10,4-<8,24,24,1.0,1,0.041666666666666664,0.20445969047288626,0.207302323407124,19.18779777577473,18.21180129862529,0.8149905782165514,2.125,3.0416666666666714
S_FIXED,10,8-<16,43,43,1.0,4,0.09302325581395349,0.2745829061487518,0.2767518007966258,28.67644972629414,26.814002114641607,0.5220730925745866,4.441860465116279,4.139534883720925
S_FIXED,10,<4,7,7,1.0,0,0.0,0.12051022296864557,0.13694112813283035,21.58445641214538,21.520249737146578,1.53716069551047,3.2857142857142856,8.428571428571429
