model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
CV,7,ta-ta,17,17,1.0,0,0.0,0.0,0.0,25.657286529609333,26.043233286210835,1.5440476174596103,3.764705882352941,4.470588235294118
CV,7,tank,17,17,1.0,0,0.0,0.3142445791372737,0.3309190809190809,29.740175992232086,23.58495283014151,0.47479143363803433,3.411764705882353,15.529411764705882
CV,8,condor,2,2,1.0,1,0.5,0.5908881818435805,0.5908881818435805,20.24140019301077,20.24140019301077,0.424113429726966,4.5,101.5
CV,8,helicopter,10,10,1.0,0,0.0,0.4414885827960995,0.4518965200150459,33.594453156699316,34.79523055642798,0.3618729811803561,4.7,9.6
CV,8,jammer,4,4,1.0,0,0.0,0.04976879478641205,0.05630188524925367,37.93181090284693,39.29001408582667,1.1734264905453704,2.0,8.25
CV,8,jet_plane,13,13,1.0,0,0.0,0.4423140185244429,0.47164696953269003,43.09268184644066,29.068883707497267,0.3662831955682475,4.230769230769231,33.61538461538461
CV,8,large_launcher,16,16,1.0,11,0.6875,0.5042710739954699,0.5049635507301411,35.65271063195057,34.594861907325225,0.31309295887136185,17.375,5.3125
CV,8,large_tower,10,10,1.0,0,0.0,0.28975622926176553,0.3127843513489033,47.17000912373685,30.673674353730707,0.5028471205529623,5.0,38.7
CV,8,medium_launcher,1,1,1.0,0,0.0,0.019444906099385074,0.019444906099385074,140.4314779527724,140.4314779527724,15.603497550308045,46.0,214.0
CV,8,small_launcher,16,16,1.0,0,0.0,0.01934502245935617,0.0,31.67797587898377,31.172086079112493,1.4154297616000528,3.3125,1.8125
CV,8,small_tower,11,11,1.0,0,0.0,0.21063926147714626,0.2014375561545373,35.43281945474595,35.531676008879735,0.6221845026126251,5.181818181818182,5.909090909090909
CV,8,spacecraft,14,14,1.0,0,0.0,0.157849312404317,0.17550664592308501,34.14588290563803,32.857017122072236,0.761245480708973,3.857142857142857,5.0
CV,8,ta-ta,16,16,1.0,0,0.0,0.0,0.0,32.46750722333293,33.19019173047452,2.029494114535072,4.125,5.25
CV,8,tank,16,16,1.0,0,0.0,0.21579597692661187,0.22845733263879323,37.49777373471862,30.58389546367728,0.6130245036221622,3.75,18.5625
