model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_FIXED,12,1,11,11,1.0,0,0.0,0.29299603055468704,0.3947241033920217,42.65069944641136,43.6911485971323,0.5530525138877506,16.545454545454547,15.818181818181818
S_FIXED,13,0,66,66,1.0,4,0.06060606060606061,0.22421089233529215,0.22748115874174324,32.98783233715146,32.07376774783811,0.6063113230835904,6.166666666666667,4.227272727272724
S_FIXED,13,1,11,11,1.0,0,0.0,0.2798807878421549,0.38170859363604753,44.70662931694574,46.94449511230424,0.5942341153456233,16.727272727272727,16.272727272727273
S_FIXED,14,0,57,57,1.0,2,0.03508771929824561,0.19827602231846184,0.20107238214727224,35.13444227070445,35.11743733334123,0.6217490544717139,6.473684210526316,4.43859649122807
S_FIXED,14,1,11,11,1.0,0,0.0,0.26525271085298535,0.3636408711092339,47.18377148811749,49.895547247228244,0.623694340590353,16.454545454545453,16.545454545454547
S_FIXED,15,0,48,48,1.0,2,0.041666666666666664,0.17289483076265863,0.15756624376869163,37.15460640669871,36.79808355075659,0.7016083660728584,6.604166666666667,4.520833333333333
S_FIXED,15,1,11,11,1.0,0,0.0,0.25848494714441705,0.34312283595746196,49.501735563206346,53.42167123569704,0.6354744756849464,16.545454545454547,16.818181818181817
S_FIXED,16,0,39,39,1.0,1,0.02564102564102564,0.14676664603100348,0.13335220060917888,38.89438237259027,39.92448531763125,0.773852879662359,6.589743589743589,4.43589743589743
S_FIXED,16,1,11,11,1.0,0,0.0,0.2516148473985221,0.32578575666933207,52.306675979878314,58.34899968261246,0.655786699060137,16.545454545454547,17.0
S_FIXED,17,0,30,30,1.0,1,0.03333333333333333,0.11983462077630745,0.0783717586113126,40.064653276884634,38.90535793380158,0.8857144095199637,6.166666666666667,4.166666666666667
S_FIXED,17,1,11,11,1.0,0,0.0,0.24411466330261275,0.3092986329169441,55.4237163604644,65.10765536760267,0.6808249018432787,16.636363636363637,17.545454545454547
S_FIXED,18,0,23,23,1.0,0,0.0,0.09827843493294748,0.05867326398824291,40.59598714514364,39.77534313518105,0.9932288032816974,5.913043478260869,4.260869565217392
S_FIXED,18,1,9,9,1.0,0,0.0,0.22772666964768762,0.2759561294813928,64.14337833704599,72.63776843736352,0.7156544452187737,17.0,15.0
S_FIXED,19,0,17,17,1.0,0,0.0,0.07229545716398797,0.0,40.05427663006558,41.43953237217763,1.0698434112613964,5.176470588235294,4.0
S_FIXED,19,1,8,8,1.0,0,0.0,0.22939117711308768,0.2704037469525067,71.70284050373627,79.04809265773218,0.7366542953759802,17.875,12.25
S_FIXED,20,0,12,12,1.0,0,0.0,0.06427952694359772,0.0,39.89148651894504,42.813720154119004,1.2259414914228681,5.0,3.75
S_FIXED,20,1,7,7,1.0,0,0.0,0.18726935903423556,0.220645541540104,74.42075065830002,86.58991199661678,0.8156096958345327,18.142857142857142,13.571428571428571
S_FIXED,21,0,8,8,1.0,0,0.0,0.06963163515156254,0.0,39.5044160470574,44.47597353749998,1.3009240030129856,5.0,4.0
S_FIXED,21,1,5,5,1.0,0,0.0,0.1397655408291592,0.17126554678937647,78.58409759320963,93.8193338833697,1.0404429947322384,22.2,14.8
S_FIXED,22,0,5,5,1.0,0,0.0,0.07413012490287205,0.0,38.70437981024048,46.23393793490594,1.31565572085565,5.2,3.8
S_FIXED,22,1,3,3,1.0,0,0.0,0.10450081198471389,0.12826050234145278,92.82633448556346,101.73540655445937,1.1003293683943378,28.333333333333332,8.333333333333334
S_FIXED,23,0,2,2,1.0,0,0.0,0.08977476803318205,0.08977476803318205,32.38399847951372,32.38399847951372,2.0873457713327777,5.5,3.0
S_FIXED,23,1,2,2,1.0,0,0.0,0.031714880760745294,0.031714880760745294,91.34473949416238,91.34473949416238,1.273629150083154,26.5,9.0
S_RES_CV,1,0,204,204,1.0,204,1.0,0.9270832948248218,0.942856304788777,1.2328947951001483,1.0595468033701534,0.020011385351950087,0.7647058823529413,0.7647058823529419
S_RES_CV,1,1,23,23,1.0,23,1.0,0.8475190661119463,0.9222659621492205,11.269924359918798,7.897937805637897,0.18702602967414148,2.0434782608695654,19.782608695652176
S_RES_CV,2,0,189,189,1.0,186,0.9841269841269841,0.8688428407410165,0.9065127667818128,2.4997759781464475,1.8446749403116884,0.03563473609422874,1.1904761904761905,1.3439153439153442
S_RES_CV,2,1,23,23,1.0,19,0.8260869565217391,0.7577172555994937,0.8125756135437814,21.018703653677395,15.587653217624219,0.35588719930688056,4.913043478260868,36.52173913043478
S_RES_CV,3,0,175,175,1.0,166,0.9485714285714286,0.8060360600326965,0.8516591410233642,4.08906586722123,3.2162889548748548,0.0646759326604161,1.7314285714285715,1.7428571428571455
S_RES_CV,3,1,22,22,1.0,15,0.6818181818181818,0.6758912037999992,0.7745953351086138,29.37394256689379,21.044607575978397,0.5607326299608214,9.227272727272725,48.72727272727273
S_RES_CV,4,0,162,162,1.0,149,0.9197530864197531,0.7415380481109999,0.7962877681226892,6.046351703967323,4.929899560915571,0.09403391182697886,2.191358024691358,2.209876543209879
S_RES_CV,4,1,20,20,1.0,13,0.65,0.6305761538270203,0.7691592465043757,33.24538864575538,21.0771298682786,0.5982827289232855,12.95,55.1
S_RES_CV,5,0,150,150,1.0,127,0.8466666666666667,0.6842907629732992,0.7309710856782696,8.136380355226075,6.418700719854014,0.12566915918285526,2.7,2.6799999999999993
S_RES_CV,5,1,18,18,1.0,13,0.7222222222222222,0.6192983437822838,0.7597017284187102,37.04179991041841,22.47546124231124,0.4527182666770784,18.5,61.61111111111112
S_RES_CV,6,0,138,138,1.0,106,0.7681159420289855,0.6331903003612289,0.670954599494265,10.029316458518826,8.071111319309919,0.16376342586211923,3.152173913043478,3.0579710144927534
S_RES_CV,6,1,17,17,1.0,11,0.6470588235294118,0.564594386264134,0.616784523683277,43.336888258712605,23.900855212555616,0.4221754233858728,19.647058823529413,72.82352941176471
S_RES_CV,7,0,126,126,1.0,83,0.6587301587301587,0.5742574180558397,0.615334050716832,12.499550082836603,10.435962264565399,0.21312877426597976,3.5873015873015874,3.5238095238095264
S_RES_CV,7,1,16,16,1.0,9,0.5625,0.5243868669004509,0.6110557195225518,51.31058099890052,24.805497412191244,0.5869590179092026,20.5625,87.50000000000001
S_RES_CV,8,0,114,114,1.0,63,0.5526315789473685,0.5187987378862785,0.5599444943732261,14.851863275481804,12.825278174036224,0.2545972544565685,4.114035087719298,3.9912280701754366
S_RES_CV,8,1,15,15,1.0,9,0.6,0.4858236541933252,0.5818401646420825,58.93130038258399,31.303548094512546,0.38221301949574704,20.933333333333334,103.0
S_RES_CV,9,0,104,104,1.0,47,0.4519230769230769,0.4608512339979542,0.47786063534344225,17.707979192260247,15.333957938383806,0.3345803384708203,4.519230769230769,4.384615384615386
S_RES_CV,9,1,13,13,1.0,7,0.5384615384615384,0.4497355381723146,0.5044094402602353,63.28424132440937,28.585271751268927,0.3380504481654206,20.615384615384617,108.38461538461537
S_RES_CV,10,0,94,94,1.0,32,0.3404255319148936,0.40428589702264695,0.4083973041415486,21.132308660936904,18.195770039437477,0.3880291900516067,5.01063829787234,4.638297872340428
S_RES_CV,10,1,12,12,1.0,6,0.5,0.4137185150344475,0.467435119642962,71.18384549226228,33.10412889930444,0.4645151271865901,21.666666666666668,113.16666666666667
S_RES_CV,11,0,84,84,1.0,25,0.2976190476190476,0.3600493602458523,0.34439315930624,24.40724742445032,21.38316365882008,0.4549999397749678,5.273809523809524,4.785714285714286
S_RES_CV,11,1,12,12,1.0,3,0.25,0.34143887992420985,0.2981968596544239,79.32317649814149,31.84313317703556,0.7232597261929561,22.0,129.75
S_RES_CV,12,0,75,75,1.0,13,0.17333333333333334,0.3128301155614298,0.3024395690855643,27.729913362751393,23.168029233173776,0.5125625081565905,5.84,5.2
S_RES_CV,12,1,11,11,1.0,3,0.2727272727272727,0.3194620996701869,0.26581374559886084,95.21742734865606,40.92856550870708,0.5685698974819379,23.636363636363637,147.45454545454547
S_RES_CV,13,0,66,66,1.0,8,0.12121212121212122,0.26249276028302937,0.2447184331634467,31.417304591298496,27.118959428593257,0.5767208027274582,6.015151515151516,5.363636363636367
S_RES_CV,13,1,11,11,1.0,2,0.18181818181818182,0.2762618415897536,0.23525774316293963,108.0750858524174,48.88557340132642,0.6555848396336588,24.181818181818183,160.27272727272728
S_RES_CV,14,0,57,57,1.0,7,0.12280701754385964,0.23315985092964103,0.19838836426645776,33.82000148565837,28.028916593077714,0.6945739487533792,6.684210526315789,5.87719298245614
S_RES_CV,14,1,11,11,1.0,2,0.18181818181818182,0.20342544526734452,0.10843537005179184,123.68264589614023,74.78812704706088,0.8379324204656696,23.545454545454547,168.54545454545453
S_RES_CV,15,0,48,48,1.0,2,0.041666666666666664,0.19118899194350636,0.16666183910730864,37.572491436559424,32.33846242054666,0.7845810649562619,7.3125,6.749999999999996
S_RES_CV,15,1,11,11,1.0,1,0.09090909090909091,0.1589284169898429,0.11254378985575601,136.02537574460666,82.40830735017356,0.8942710092658058,22.181818181818183,181.27272727272728
S_RES_CV,16,0,39,39,1.0,0,0.0,0.14952755718875013,0.10316296755023452,40.01796053769734,35.805375606623095,0.8452090666942632,7.666666666666667,7.153846153846157
S_RES_CV,16,1,11,11,1.0,0,0.0,0.08549474599882073,0.050151548190939456,155.25508734953615,102.22038106078661,0.9535995500546987,26.90909090909091,191.36363636363637
