model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error,mean_abs_width_error,mean_abs_height_error
S_RES_CV,4,197,182,0.9238578680203046,162,0.8901098901098901,0.7293444333545186,0.7925755841658535,9.035256862405571,5.421065816547767,0.10322772484129403,3.3736263736263736,8.021978021978024
S_RES_CV,5,182,168,0.9230769230769231,140,0.8333333333333334,0.6773272894885475,0.7374737893277049,11.233389593282398,7.019239913318432,0.14484050343315463,4.392857142857143,8.994047619047619
S_RES_CV,6,168,155,0.9226190476190477,117,0.7548387096774194,0.6256668775247735,0.6691284304594242,13.68240497854008,8.94646774556713,0.18361626196882053,4.961290322580645,10.709677419354838
S_RES_CV,7,155,142,0.9161290322580645,92,0.647887323943662,0.5686382010242467,0.615334050716832,16.872623988871975,11.123064090865359,0.22927311205747702,5.5,12.98591549295775
S_RES_CV,8,142,129,0.9084507042253521,72,0.5581395348837209,0.5149644258289583,0.5645482040042943,19.977379218168107,13.231184505241442,0.2666433396249889,6.069767441860465,15.503875968992247
S_RES_CV,9,129,117,0.9069767441860465,54,0.46153846153846156,0.4596161566839942,0.480190127172907,22.772008318054596,17.17847353275921,0.3380504481654206,6.3076923076923075,15.94017094017094
S_RES_CV,10,117,106,0.905982905982906,38,0.3584905660377358,0.4053537405711528,0.4182904644779921,26.798520377690718,18.863342239653626,0.4034092464037604,6.89622641509434,16.924528301886795
S_RES_CV,11,106,96,0.9056603773584906,28,0.2916666666666667,0.35772305020564693,0.34439315930624,31.271738558661713,22.539923348455513,0.4715711882689113,7.364583333333333,20.40625
S_RES_CV,12,96,86,0.8958333333333334,16,0.18604651162790697,0.3136783925985964,0.29842686266999807,36.36203724466944,23.938677639105414,0.5193031749933568,8.116279069767442,23.3953488372093
S_RES_CV,13,86,77,0.8953488372093024,10,0.12987012987012986,0.26445977189827563,0.23525774316293963,42.36841620002978,28.555589412550976,0.5864275401906679,8.61038961038961,27.493506493506494
S_RES_CV,14,77,68,0.8831168831168831,9,0.1323529411764706,0.2283498735430931,0.19214039320064313,48.35660572853043,31.78225578023843,0.6977050666633394,9.411764705882353,32.19117647058823
S_RES_CV,15,68,59,0.8676470588235294,3,0.05084745762711865,0.1851743084775691,0.14019273470830926,55.92811393466993,33.262880108714015,0.7994180326540549,10.084745762711865,39.28813559322034
S_RES_CV,16,59,50,0.847457627118644,0,0.0,0.13544033872696568,0.08277840146027808,65.3701284363019,38.67538093495578,0.8938828367889279,11.9,47.68
S_RES_CV,17,50,41,0.82,1,0.024390243902439025,0.1129428122352492,0.04152838961553409,72.95094970283053,39.158489184508774,0.998928478956349,11.878048780487806,59.90243902439025
