model,image,raw_proposals,zero_proposals,score_p10,score_median,score_p90,score_max,count_conf_001,zero_conf_001,short_side_p10,short_side_median,short_side_p90,center_q_tl,center_q_tr,center_q_bl,center_q_br,count_top8,count_top16,count_top32,preprocess_ms,inference_ms,decode_nms_ms,total_ms
frozen_v2,00215.png,127,0,0.0009321331977844238,0.0009944140911102295,0.0011630237102508544,0.009555727243423462,0,1,47.069891357421874,89.3385009765625,214.3958435058594,27,27,37,36,8,16,32,23.0234000046039,102.20110000227578,1.8132999975932762,127.05690000439063
frozen_v2,00220.png,149,0,0.0009370028972625732,0.001005321741104126,0.001163935661315918,0.030251920223236084,1,0,46.37882080078125,81.07949829101562,195.0260284423829,32,34,43,40,8,16,32,21.518199995625764,100.99160000390839,2.0096999942325056,124.53559999994468
frozen_v2,00225.png,160,0,0.0009312689304351807,0.0009953975677490234,0.0011132389307022094,0.04329651594161987,1,0,43.370947265625,76.48211669921875,183.72161331176758,49,38,42,31,8,16,32,19.95639999222476,106.36270001123194,2.214099993580021,128.55280000076164
frozen_v2,00230.png,158,0,0.0009288728237152099,0.0009956508874893188,0.001150012016296387,0.0019169747829437256,0,1,43.13661766052246,78.861328125,191.80660400390627,43,41,35,39,8,16,32,22.703099995851517,101.22100000444334,2.0933999912813306,126.03529999614693
frozen_v2,00235.png,154,0,0.0009426474571228027,0.0010055899620056152,0.0011575311422348023,0.003029555082321167,0,1,42.27797241210938,83.93832397460938,208.76131744384773,43,38,36,37,8,16,32,24.393500003498048,111.00819999410305,2.0946000004187226,137.51430000411347
frozen_v2,00240.png,165,0,0.0009456932544708252,0.0010288357734680176,0.0012019872665405273,0.008089840412139893,0,1,43.268286132812506,78.65782165527344,201.1617584228515,31,43,45,46,8,16,32,23.190099993371405,110.80200001015328,2.161800002795644,136.1726000031922
frozen_v2,00245.png,149,0,0.00094757080078125,0.0010229647159576416,0.001189684867858887,0.020783275365829468,1,0,37.67021484375,68.55096435546875,220.17041015625009,37,30,37,45,8,16,32,22.780800005421042,99.03479999047704,2.3135000083129853,124.20700000075158
v3_standard,00000.png,182,0,0.006588664650917053,0.011327862739562988,0.07539591491222387,0.3154442310333252,105,0,7.434173583984375,11.295974731445312,24.583576202392578,63,68,15,36,8,16,32,24.632699991343543,100.47879999910947,1.9277000101283193,127.05840000126045
v3_standard,00005.png,172,0,0.007858562469482421,0.015063956379890442,0.09687291085720068,0.6420472264289856,128,0,7.54246826171875,12.45192289352417,25.669616699218754,64,30,29,49,8,16,32,21.875699996598996,100.64550000242889,1.8394999933661893,124.37979999231175
v3_standard,00010.png,181,0,0.006850183010101318,0.01257142424583435,0.06396397948265076,0.44413965940475464,112,0,8.920166015625,13.30535888671875,28.564483642578125,76,19,31,55,8,16,32,23.870399993029423,117.23420000635087,1.9275999948149547,143.05050000257324
v3_standard,00015.png,177,0,0.005903267860412597,0.011664390563964844,0.08097519278526306,0.7241238355636597,96,0,8.247203636169434,13.364990234375,26.69363708496094,82,17,38,40,8,16,32,22.49590000428725,99.1035000042757,2.060899991192855,123.69020000915043
v3_standard,00020.png,173,0,0.004776132106781006,0.008104473352432251,0.04113570451736453,0.816112756729126,75,0,8.701513671875,13.61614990234375,29.465441894531256,73,27,48,25,8,16,32,22.002999990945682,96.10690000408795,2.071900002192706,120.20979999215342
v3_standard,00025.png,156,0,0.005301564931869507,0.01005139946937561,0.060734882950782776,0.5981705188751221,78,0,9.10748291015625,13.821487426757812,30.930831909179688,54,21,58,23,8,16,32,22.596399998292327,101.01659999054391,1.8207999964943156,125.45339998905547
v3_standard,00030.png,167,0,0.0050755500793457035,0.00978061556816101,0.04874160885810854,0.5827804803848267,81,0,8.8789306640625,13.07537841796875,24.688582229614262,61,23,55,28,8,16,32,21.642799998517148,101.53350001201034,1.8531999958213419,125.05020000389777
v3_standard,00035.png,178,0,0.004425346851348877,0.0076392292976379395,0.05267292261123665,0.5554608702659607,69,0,8.78896484375,15.002059936523438,31.81903076171875,60,25,69,24,8,16,32,21.225399992545135,98.78729999763891,1.8686999974306673,121.9005000020843
v3_standard,00040.png,176,0,0.00435282289981842,0.008155032992362976,0.03805382549762726,0.7564601898193359,73,0,8.65771484375,14.0389404296875,30.7755126953125,44,40,67,25,8,16,32,20.777099998667836,101.13890000502579,1.9518000044627115,123.88759999885224
v3_standard,00045.png,174,0,0.003399789333343506,0.00663892924785614,0.044852039217948926,0.4603085517883301,56,0,7.893414306640625,14.09649658203125,29.663671875000002,55,33,60,26,8,16,32,22.278399992501363,104.95610001089517,1.8478999991202727,129.10140000167303
v3_standard,00050.png,173,0,0.003872358798980713,0.007320225238800049,0.04113675951957706,0.558667004108429,60,0,8.6852294921875,14.21044921875,30.109716796875006,49,38,57,29,8,16,32,22.88849999604281,100.40760000993032,2.0551000052364543,125.36960000579711
v3_standard,00055.png,172,0,0.0034572601318359373,0.006384417414665222,0.058721438050270185,0.4475095868110657,59,0,8.623931884765625,13.477764129638672,25.333914184570315,55,45,35,37,8,16,32,22.77880000474397,101.464000006672,1.8388000025879592,126.10170000698417
