model_a,model_b,horizon,count,both_success,a_only,b_only,both_fail
T_FIXED,S_RES_CV,6,155,0,0,117,38
T_FIXED,S_RES_CV,7,142,0,0,92,50
T_FIXED,S_RES_CV,8,129,0,0,72,57
T_FIXED,S_RES_CV,9,117,0,0,54,63
T_FIXED,S_RES_CV,10,106,0,0,38,68
T_FIXED,S_RES_CV,11,96,0,0,28,68
T_FIXED,S_RES_CV,12,86,0,0,16,70
T_FIXED,S_RES_CV,13,77,0,0,10,67
T_FIXED,S_RES_CV,14,68,0,0,9,59
T_FIXED,S_RES_CV,15,59,0,0,3,56
T_FIXED,S_RES_CV,16,50,0,0,0,50
T_FIXED,S_RES_CV,17,41,0,0,1,40
T_FIXED,S_RES_CV,18,32,0,0,0,32
T_FIXED,S_RES_CV,19,25,0,0,1,24
T_FIXED,S_RES_CV,20,19,0,0,1,18
T_FIXED,S_RES_CV,21,13,0,0,1,12
T_FIXED,S_RES_CV,22,8,0,0,1,7
T_FIXED,S_RES_CV,23,4,0,0,0,4
T_FIXED,A_FIXED,1,243,182,0,56,5
T_FIXED,A_FIXED,2,227,78,0,143,6
T_FIXED,A_FIXED,3,212,38,0,165,9
T_FIXED,A_FIXED,4,197,9,0,174,14
T_FIXED,A_FIXED,5,182,1,0,168,13
T_FIXED,A_FIXED,6,168,0,0,156,12
T_FIXED,A_FIXED,7,155,0,0,140,15
T_FIXED,A_FIXED,8,142,0,0,126,16
T_FIXED,A_FIXED,9,129,0,0,114,15
T_FIXED,A_FIXED,10,117,0,0,99,18
T_FIXED,A_FIXED,11,106,0,0,87,19
T_FIXED,A_FIXED,12,96,0,0,79,17
T_FIXED,A_FIXED,13,86,0,0,69,17
T_FIXED,A_FIXED,14,77,0,0,61,16
T_FIXED,A_FIXED,15,68,0,0,51,17
T_FIXED,A_FIXED,16,59,0,0,41,18
T_FIXED,A_FIXED,17,50,0,0,35,15
T_FIXED,A_FIXED,18,41,0,0,29,12
T_FIXED,A_FIXED,19,32,0,0,23,9
T_FIXED,A_FIXED,20,25,0,0,17,8
T_FIXED,A_FIXED,21,19,0,0,12,7
T_FIXED,A_FIXED,22,13,0,0,7,6
T_FIXED,A_FIXED,23,8,0,0,4,4
T_FIXED,A_FIXED,24,4,0,0,2,2
T_FIXED,A_RES_CV,1,227,175,0,52,0
T_FIXED,A_RES_CV,2,212,73,0,133,6
T_FIXED,A_RES_CV,3,197,36,0,145,16
T_FIXED,A_RES_CV,4,182,8,0,155,19
T_FIXED,A_RES_CV,5,168,0,0,150,18
T_FIXED,A_RES_CV,6,155,0,0,135,20
T_FIXED,A_RES_CV,7,142,0,0,113,29
T_FIXED,A_RES_CV,8,129,0,0,101,28
T_FIXED,A_RES_CV,9,117,0,0,83,34
T_FIXED,A_RES_CV,10,106,0,0,67,39
T_FIXED,A_RES_CV,11,96,0,0,56,40
T_FIXED,A_RES_CV,12,86,0,0,48,38
T_FIXED,A_RES_CV,13,77,0,0,40,37
T_FIXED,A_RES_CV,14,68,0,0,35,33
T_FIXED,A_RES_CV,15,59,0,0,28,31
T_FIXED,A_RES_CV,16,50,0,0,20,30
T_FIXED,A_RES_CV,17,41,0,0,15,26
T_FIXED,A_RES_CV,18,32,0,0,10,22
T_FIXED,A_RES_CV,19,25,0,0,7,18
T_FIXED,A_RES_CV,20,19,0,0,5,14
T_FIXED,A_RES_CV,21,13,0,0,5,8
T_FIXED,A_RES_CV,22,8,0,0,3,5
T_FIXED,A_RES_CV,23,4,0,0,1,3
T_RES_CV,S_FIXED,1,227,220,7,0,0
T_RES_CV,S_FIXED,2,212,188,13,8,3
T_RES_CV,S_FIXED,3,197,137,33,15,12
T_RES_CV,S_FIXED,4,182,95,40,20,27
T_RES_CV,S_FIXED,5,168,65,34,25,44
T_RES_CV,S_FIXED,6,155,52,26,23,54
T_RES_CV,S_FIXED,7,142,34,21,25,62
T_RES_CV,S_FIXED,8,129,15,19,25,70
T_RES_CV,S_FIXED,9,117,6,15,23,73
T_RES_CV,S_FIXED,10,106,4,10,16,76
T_RES_CV,S_FIXED,11,96,1,3,12,80
T_RES_CV,S_FIXED,12,86,0,4,6,76
T_RES_CV,S_FIXED,13,77,0,1,4,72
T_RES_CV,S_FIXED,14,68,0,0,2,66
T_RES_CV,S_FIXED,15,59,0,0,2,57
T_RES_CV,S_FIXED,16,50,0,0,1,49
T_RES_CV,S_FIXED,17,41,0,0,1,40
T_RES_CV,S_FIXED,18,32,0,0,0,32
T_RES_CV,S_FIXED,19,25,0,0,0,25
T_RES_CV,S_FIXED,20,19,0,0,0,19
T_RES_CV,S_FIXED,21,13,0,0,0,13
T_RES_CV,S_FIXED,22,8,0,0,0,8
T_RES_CV,S_FIXED,23,4,0,0,0,4
T_RES_CV,S_RES_CV,1,227,227,0,0,0
T_RES_CV,S_RES_CV,2,212,200,1,5,6
T_RES_CV,S_RES_CV,3,197,169,1,12,15
T_RES_CV,S_RES_CV,4,182,134,1,28,19
T_RES_CV,S_RES_CV,5,168,97,2,43,26
T_RES_CV,S_RES_CV,6,155,75,3,42,35
T_RES_CV,S_RES_CV,7,142,51,4,41,46
T_RES_CV,S_RES_CV,8,129,33,1,39,56
T_RES_CV,S_RES_CV,9,117,21,0,33,63
T_RES_CV,S_RES_CV,10,106,13,1,25,67
T_RES_CV,S_RES_CV,11,96,4,0,24,68
T_RES_CV,S_RES_CV,12,86,4,0,12,70
T_RES_CV,S_RES_CV,13,77,1,0,9,67
T_RES_CV,S_RES_CV,14,68,0,0,9,59
T_RES_CV,S_RES_CV,15,59,0,0,3,56
T_RES_CV,S_RES_CV,16,50,0,0,0,50
T_RES_CV,S_RES_CV,17,41,0,0,1,40
T_RES_CV,S_RES_CV,18,32,0,0,0,32
T_RES_CV,S_RES_CV,19,25,0,0,1,24
T_RES_CV,S_RES_CV,20,19,0,0,1,18
T_RES_CV,S_RES_CV,21,13,0,0,1,12
T_RES_CV,S_RES_CV,22,8,0,0,1,7
T_RES_CV,S_RES_CV,23,4,0,0,0,4
T_RES_CV,A_FIXED,1,227,227,0,0,0
T_RES_CV,A_FIXED,2,212,200,1,11,0
T_RES_CV,A_FIXED,3,197,169,1,24,3
T_RES_CV,A_FIXED,4,182,135,0,38,9
T_RES_CV,A_FIXED,5,168,99,0,61,8
T_RES_CV,A_FIXED,6,155,78,0,69,8
T_RES_CV,A_FIXED,7,142,55,0,76,11
T_RES_CV,A_FIXED,8,129,34,0,83,12
T_RES_CV,A_FIXED,9,117,21,0,85,11
T_RES_CV,A_FIXED,10,106,11,3,80,12
T_RES_CV,A_FIXED,11,96,3,1,78,14
T_RES_CV,A_FIXED,12,86,3,1,70,12
T_RES_CV,A_FIXED,13,77,1,0,62,14
T_RES_CV,A_FIXED,14,68,0,0,55,13
T_RES_CV,A_FIXED,15,59,0,0,45,14
T_RES_CV,A_FIXED,16,50,0,0,35,15
T_RES_CV,A_FIXED,17,41,0,0,29,12
T_RES_CV,A_FIXED,18,32,0,0,23,9
T_RES_CV,A_FIXED,19,25,0,0,18,7
T_RES_CV,A_FIXED,20,19,0,0,13,6
T_RES_CV,A_FIXED,21,13,0,0,8,5
T_RES_CV,A_FIXED,22,8,0,0,5,3
T_RES_CV,A_FIXED,23,4,0,0,2,2
T_RES_CV,A_RES_CV,1,227,227,0,0,0
T_RES_CV,A_RES_CV,2,212,199,2,7,4
T_RES_CV,A_RES_CV,3,197,166,4,15,12
T_RES_CV,A_RES_CV,4,182,129,6,34,13
T_RES_CV,A_RES_CV,5,168,94,5,56,13
T_RES_CV,A_RES_CV,6,155,74,4,61,16
T_RES_CV,A_RES_CV,7,142,53,2,60,27
T_RES_CV,A_RES_CV,8,129,34,0,67,28
T_RES_CV,A_RES_CV,9,117,20,1,63,33
T_RES_CV,A_RES_CV,10,106,11,3,56,36
T_RES_CV,A_RES_CV,11,96,4,0,52,40
T_RES_CV,A_RES_CV,12,86,4,0,44,38
T_RES_CV,A_RES_CV,13,77,1,0,39,37
T_RES_CV,A_RES_CV,14,68,0,0,35,33
T_RES_CV,A_RES_CV,15,59,0,0,28,31
T_RES_CV,A_RES_CV,16,50,0,0,20,30
T_RES_CV,A_RES_CV,17,41,0,0,15,26
T_RES_CV,A_RES_CV,18,32,0,0,10,22
T_RES_CV,A_RES_CV,19,25,0,0,7,18
T_RES_CV,A_RES_CV,20,19,0,0,5,14
T_RES_CV,A_RES_CV,21,13,0,0,5,8
T_RES_CV,A_RES_CV,22,8,0,0,3,5
T_RES_CV,A_RES_CV,23,4,0,0,1,3
S_FIXED,S_RES_CV,1,227,220,0,7,0
S_FIXED,S_RES_CV,2,212,192,4,13,3
S_FIXED,S_RES_CV,3,197,146,6,35,10
S_FIXED,S_RES_CV,4,182,113,2,49,18
S_FIXED,S_RES_CV,5,168,82,8,58,20
S_FIXED,S_RES_CV,6,155,70,5,47,33
S_FIXED,S_RES_CV,7,142,48,11,44,39
S_FIXED,S_RES_CV,8,129,29,11,43,46
S_FIXED,S_RES_CV,9,117,17,12,37,51
S_FIXED,S_RES_CV,10,106,11,9,27,59
S_FIXED,S_RES_CV,11,96,8,5,20,63
S_FIXED,S_RES_CV,12,86,0,6,16,64
S_FIXED,S_RES_CV,13,77,0,4,10,63
S_FIXED,S_RES_CV,14,68,0,2,9,57
S_FIXED,S_RES_CV,15,59,0,2,3,54
S_FIXED,S_RES_CV,16,50,0,1,0,49
S_FIXED,S_RES_CV,17,41,0,1,1,39
S_FIXED,S_RES_CV,18,32,0,0,0,32
S_FIXED,S_RES_CV,19,25,0,0,1,24
S_FIXED,S_RES_CV,20,19,0,0,1,18
S_FIXED,S_RES_CV,21,13,0,0,1,12
S_FIXED,S_RES_CV,22,8,0,0,1,7
S_FIXED,S_RES_CV,23,4,0,0,0,4
S_FIXED,A_FIXED,1,243,230,0,8,5
S_FIXED,A_FIXED,2,227,205,0,16,6
S_FIXED,A_FIXED,3,212,158,1,45,8
S_FIXED,A_FIXED,4,197,116,3,67,11
S_FIXED,A_FIXED,5,182,91,3,78,10
S_FIXED,A_FIXED,6,168,76,3,80,9
S_FIXED,A_FIXED,7,155,57,5,83,10
S_FIXED,A_FIXED,8,142,39,4,87,12
S_FIXED,A_FIXED,9,129,30,3,84,12
S_FIXED,A_FIXED,10,117,20,2,79,16
S_FIXED,A_FIXED,11,106,15,0,72,19
S_FIXED,A_FIXED,12,96,7,0,72,17
S_FIXED,A_FIXED,13,86,5,0,64,17
S_FIXED,A_FIXED,14,77,3,0,58,16
S_FIXED,A_FIXED,15,68,2,0,49,17
S_FIXED,A_FIXED,16,59,1,0,40,18
S_FIXED,A_FIXED,17,50,1,0,34,15
S_FIXED,A_FIXED,18,41,0,0,29,12
S_FIXED,A_FIXED,19,32,0,0,23,9
S_FIXED,A_FIXED,20,25,0,0,17,8
S_FIXED,A_FIXED,21,19,0,0,12,7
S_FIXED,A_FIXED,22,13,0,0,7,6
S_FIXED,A_FIXED,23,8,0,0,4,4
S_FIXED,A_FIXED,24,4,0,0,2,2
S_FIXED,A_RES_CV,1,227,220,0,7,0
S_FIXED,A_RES_CV,2,212,191,5,15,1
S_FIXED,A_RES_CV,3,197,144,8,37,8
S_FIXED,A_RES_CV,4,182,110,5,53,14
S_FIXED,A_RES_CV,5,168,84,6,66,12
S_FIXED,A_RES_CV,6,155,71,4,64,16
S_FIXED,A_RES_CV,7,142,55,4,58,25
S_FIXED,A_RES_CV,8,129,37,3,64,25
S_FIXED,A_RES_CV,9,117,24,5,59,29
S_FIXED,A_RES_CV,10,106,16,4,51,35
S_FIXED,A_RES_CV,11,96,9,4,47,36
S_FIXED,A_RES_CV,12,86,4,2,44,36
S_FIXED,A_RES_CV,13,77,3,1,37,36
S_FIXED,A_RES_CV,14,68,1,1,34,32
S_FIXED,A_RES_CV,15,59,1,1,27,30
S_FIXED,A_RES_CV,16,50,1,0,19,30
S_FIXED,A_RES_CV,17,41,1,0,14,26
S_FIXED,A_RES_CV,18,32,0,0,10,22
S_FIXED,A_RES_CV,19,25,0,0,7,18
S_FIXED,A_RES_CV,20,19,0,0,5,14
S_FIXED,A_RES_CV,21,13,0,0,5,8
S_FIXED,A_RES_CV,22,8,0,0,3,5
S_FIXED,A_RES_CV,23,4,0,0,1,3
S_RES_CV,A_FIXED,1,227,227,0,0,0
S_RES_CV,A_FIXED,2,212,204,1,7,0
S_RES_CV,A_FIXED,3,197,180,1,13,3
S_RES_CV,A_FIXED,4,182,159,3,14,6
S_RES_CV,A_FIXED,5,168,139,1,21,7
S_RES_CV,A_FIXED,6,155,116,1,31,7
S_RES_CV,A_FIXED,7,142,90,2,41,9
S_RES_CV,A_FIXED,8,129,70,2,47,10
S_RES_CV,A_FIXED,9,117,53,1,53,10
S_RES_CV,A_FIXED,10,106,33,5,58,10
S_RES_CV,A_FIXED,11,96,23,5,58,10
S_RES_CV,A_FIXED,12,86,14,2,59,11
S_RES_CV,A_FIXED,13,77,9,1,54,13
S_RES_CV,A_FIXED,14,68,7,2,48,11
S_RES_CV,A_FIXED,15,59,2,1,43,13
S_RES_CV,A_FIXED,16,50,0,0,35,15
S_RES_CV,A_FIXED,17,41,0,1,29,11
S_RES_CV,A_FIXED,18,32,0,0,23,9
S_RES_CV,A_FIXED,19,25,0,1,18,6
S_RES_CV,A_FIXED,20,19,0,1,13,5
S_RES_CV,A_FIXED,21,13,0,1,8,4
