model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_FIXED,1,243,243,1.0,230,0.9465020576131687,0.8231214428508005,0.8600253721601455,4.788006174855954,3.620967214215341,0.07052235423454971
S_FIXED,2,227,227,1.0,205,0.9030837004405287,0.7105678299692056,0.7511660199786939,8.445655291923973,7.026696393854707,0.13392464440432028
S_FIXED,3,212,212,1.0,159,0.75,0.6229508210276095,0.6583162700812455,11.704047232075505,10.403824472936197,0.19973708949579477
S_FIXED,4,197,197,1.0,119,0.6040609137055838,0.5538825929798252,0.5778083759042916,14.677238644128995,13.38687296798539,0.2630167445805429
S_FIXED,5,182,182,1.0,94,0.5164835164835165,0.4995784561863509,0.5259859242739415,17.18767365375632,16.347728582461734,0.30437836917903394
S_FIXED,6,168,168,1.0,79,0.47023809523809523,0.45209245515320073,0.4735536317701795,19.39281322873654,17.97252034502367,0.34842001724659677
S_FIXED,7,155,155,1.0,62,0.4,0.4085947093625385,0.4283453178467306,21.9620288384797,20.58883798688009,0.4083799565661832
S_FIXED,8,142,142,1.0,43,0.3028169014084507,0.37127803122585895,0.39767645201933693,24.350525602733907,22.40505806647583,0.43846183049437026
S_FIXED,9,129,129,1.0,33,0.2558139534883721,0.3395330076216514,0.3438637513024486,26.44726305675736,23.719206469663888,0.45321191139028155
S_FIXED,10,117,117,1.0,22,0.18803418803418803,0.3062993789725725,0.32527835583842485,28.56748088188733,26.026973655377628,0.5046125112369919
S_FIXED,11,106,106,1.0,15,0.14150943396226415,0.27565090809453274,0.28108589857976973,31.081474677908965,29.104044866684433,0.5316218464970065
S_FIXED,12,96,96,1.0,7,0.07291666666666667,0.25038015166137934,0.25249341212697296,33.35334715163815,31.158310392708593,0.5573176927580894
S_FIXED,13,86,86,1.0,5,0.05813953488372093,0.22735015579448642,0.22748115874174324,35.65975674933333,33.590355615883055,0.6268978278919839
S_FIXED,14,77,77,1.0,3,0.03896103896103896,0.2040984194598354,0.20107238214727224,38.22454284211753,35.85842005118715,0.688048473830522
S_FIXED,15,68,68,1.0,2,0.029411764705882353,0.1835500837192925,0.16779261397865225,40.816946557719206,37.98691740964135,0.7024973727963904
S_FIXED,16,59,59,1.0,1,0.01694915254237288,0.16407487964786394,0.15152100334628674,43.47521861655957,41.25720470137567,0.7562266897569299
S_FIXED,17,50,50,1.0,1,0.02,0.14695937187822314,0.11014567668531447,46.21529174789659,44.037835992792225,0.8487128079273745
S_FIXED,18,41,41,1.0,0,0.0,0.13214236060701487,0.07778078669950005,48.949932634592706,46.48040861672468,0.9532435787983542
S_FIXED,19,32,32,1.0,0,0.0,0.11611746176881917,0.07210023856421735,51.74847509467379,45.14250573648235,1.0636900505822662
S_FIXED,20,25,25,1.0,0,0.0,0.10341459640734697,0.04578696639881786,55.20740156182191,47.62272145066384,1.0673750290146837
S_FIXED,21,19,19,1.0,0,0.0,0.08802986599896011,0.01977175760136324,58.18001530075096,48.26335340663756,1.0896346764185838
S_FIXED,22,13,13,1.0,0,0.0,0.07922034513876766,0.01537062015282253,59.03507250750303,48.92632885812884,1.31565572085565
S_FIXED,23,8,8,1.0,0,0.0,0.06185822720276392,0.031714880760745294,64.5516203042716,61.25858183323513,1.273629150083154
S_FIXED,24,4,4,1.0,0,0.0,0.041192813640758316,0.0,69.61005312204453,70.46651802188589,1.473103785176679
S_RES_CV,1,243,227,0.934156378600823,227,1.0,0.9190217209904776,0.9409889464270701,2.2498625483637116,1.1587058099031118,0.021911048704194434
S_RES_CV,2,227,212,0.933920704845815,205,0.9669811320754716,0.8567867631077382,0.9036980300382939,4.508904924076692,2.036153185349659,0.042003102044633076
S_RES_CV,3,212,197,0.9292452830188679,181,0.9187817258883249,0.7915021166970654,0.8468480964600426,6.91275768139786,3.4190152119125723,0.06970682656083768
S_RES_CV,4,197,182,0.9238578680203046,162,0.8901098901098901,0.7293444333545186,0.7925755841658535,9.035256862405571,5.421065816547767,0.10322772484129403
S_RES_CV,5,182,168,0.9230769230769231,140,0.8333333333333334,0.6773272894885475,0.7374737893277049,11.233389593282398,7.019239913318432,0.14484050343315463
S_RES_CV,6,168,155,0.9226190476190477,117,0.7548387096774194,0.6256668775247735,0.6691284304594242,13.68240497854008,8.94646774556713,0.18361626196882053
S_RES_CV,7,155,142,0.9161290322580645,92,0.647887323943662,0.5686382010242467,0.615334050716832,16.872623988871975,11.123064090865359,0.22927311205747702
S_RES_CV,8,142,129,0.9084507042253521,72,0.5581395348837209,0.5149644258289583,0.5645482040042943,19.977379218168107,13.231184505241442,0.2666433396249889
S_RES_CV,9,129,117,0.9069767441860465,54,0.46153846153846156,0.4596161566839942,0.480190127172907,22.772008318054596,17.17847353275921,0.3380504481654206
S_RES_CV,10,117,106,0.905982905982906,38,0.3584905660377358,0.4053537405711528,0.4182904644779921,26.798520377690718,18.863342239653626,0.4034092464037604
