model,horizon,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
CV,23,4,4,1.0,0,0.0,0.0,0.0,322.8907762784854,239.15389708748742,10.472831193464724
S_FIXED,1,227,227,1.0,220,0.9691629955947136,0.8381353033203108,0.8661134520188729,4.328007908549613,3.570017697316304,0.06788400100918694
S_FIXED,2,212,212,1.0,196,0.9245283018867925,0.7246928614343445,0.7615100366120878,7.817763593363761,6.916137264168986,0.12981872259835997
S_FIXED,3,197,197,1.0,152,0.7715736040609137,0.6375426626813038,0.6678679127910702,10.925642726408148,10.231570791457953,0.19505009150316227
S_FIXED,4,182,182,1.0,115,0.6318681318681318,0.5690183533284405,0.5864789473287411,13.746114359095607,12.98968807273635,0.2513372399065156
S_FIXED,5,168,168,1.0,90,0.5357142857142857,0.5126358430014635,0.5422774914937308,16.17501169807063,15.959997099593608,0.2933163868341911
S_FIXED,6,155,155,1.0,75,0.4838709677419355,0.4629318627429222,0.47601604164117206,18.70455757073881,17.857587970190302,0.3441812357607411
S_FIXED,7,142,142,1.0,59,0.4154929577464789,0.4201203575419806,0.45121478465867276,21.03319920803035,19.6458457620813,0.36696892180592716
S_FIXED,8,129,129,1.0,40,0.31007751937984496,0.3833002386480417,0.4025002954544498,23.115633536689373,21.900516518721574,0.4090697306634286
S_FIXED,9,117,117,1.0,29,0.24786324786324787,0.3467752654656026,0.35528289709473926,25.308088648845736,23.716291997432617,0.4523038044904881
S_FIXED,10,106,106,1.0,20,0.18867924528301888,0.3123634573092687,0.33032963482213346,27.77220017493808,25.988088679911577,0.48794982867118064
S_FIXED,11,96,96,1.0,13,0.13541666666666666,0.28290991953102423,0.29886571249884974,30.03074459279794,28.77838328990853,0.521143514750153
S_FIXED,12,86,86,1.0,6,0.06976744186046512,0.2579883250543469,0.2582536869380976,32.22893171142644,30.896081267990837,0.5541259471012296
S_FIXED,13,77,77,1.0,4,0.05194805194805195,0.23216373455055828,0.23166633315622565,34.66194619140779,33.557584789342,0.5942341153456233
S_FIXED,14,68,68,1.0,2,0.029411764705882353,0.20911048664022297,0.2028400471695022,37.0835984676389,35.79487386539603,0.6227216975310335
S_FIXED,15,59,59,1.0,2,0.03389830508474576,0.18885231008807118,0.17401374635532427,39.45661353757301,37.65731024634295,0.6955972322013714
S_FIXED,16,50,50,1.0,1,0.02,0.16983325033185762,0.1515743899250766,41.84508696619364,41.02156804254848,0.7485197907971717
