model,horizon,target_class,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
S_FIXED,22,tank,2,2,1.0,0,0.0,0.0,0.0,70.31320219463137,70.31320219463137,1.3657916536118342
S_FIXED,23,large_launcher,1,1,1.0,0,0.0,0.06342976152149059,0.06342976152149059,110.97777909463463,110.97777909463463,1.168187148364575
S_FIXED,23,small_launcher,1,1,1.0,0,0.0,0.1795495360663641,0.1795495360663641,15.173556868103178,15.173556868103178,0.6322315361709657
S_FIXED,23,ta-ta,1,1,1.0,0,0.0,0.0,0.0,49.59444009092426,49.59444009092426,3.54246000649459
S_FIXED,23,tank,1,1,1.0,0,0.0,0.0,0.0,71.71169989369014,71.71169989369014,1.3790711518017333
S_RES_CV,1,condor,9,9,1.0,9,1.0,0.973916806141811,0.9813044579303348,5.168651279048799,1.5304376409272,0.008745357948155428
S_RES_CV,1,hangar,4,4,1.0,4,1.0,0.8955540541573931,0.9250154152088765,7.525263806969582,4.558263527852061,0.03653268842451851
S_RES_CV,1,helicopter,17,17,1.0,17,1.0,0.9733076027769196,0.9737326417935419,2.6174377154796566,0.5027088064620654,0.005451019770928453
S_RES_CV,1,jammer,11,11,1.0,11,1.0,0.9294166689300554,0.9212503013536198,1.571505928620497,1.1766048264451963,0.03558803234435265
S_RES_CV,1,jet_plane,20,20,1.0,20,1.0,0.9464169698543495,0.9672897891052522,2.126115472297877,0.8559389009588707,0.010814576321727078
S_RES_CV,1,large_launcher,23,23,1.0,23,1.0,0.9662317275185346,0.9714483883683648,1.83143523889352,1.3662246768542965,0.011984426989949969
S_RES_CV,1,large_tower,17,17,1.0,17,1.0,0.9005211125357294,0.9283373074240129,3.065737251890281,1.711588534457852,0.02805882843373528
S_RES_CV,1,medium_launcher,8,8,1.0,8,1.0,0.8694729329103136,0.9190913047039293,3.6162442650217974,1.2884599890355992,0.041542981930957235
S_RES_CV,1,medium_plane,3,3,1.0,3,1.0,0.8600885008098468,0.9458118806011608,3.688268241294889,0.9559236582467026,0.0195086460866674
S_RES_CV,1,small_launcher,23,23,1.0,23,1.0,0.905304253097064,0.9088814260371403,0.9089320784720344,0.9156687739872457,0.04074100566756061
S_RES_CV,1,small_plane,7,7,1.0,7,1.0,0.9460059059594876,0.9368191721132898,0.7430733539190545,0.3820016370424595,0.00888375900098743
S_RES_CV,1,small_tower,18,18,1.0,18,1.0,0.9372379415115785,0.9451343168477297,2.2439429482524056,1.1565441461722572,0.02065985130761635
S_RES_CV,1,spacecraft,21,21,1.0,21,1.0,0.9280916379748847,0.9343651175832267,2.080342827361207,1.1147395190362106,0.025334989069004787
S_RES_CV,1,ta-ta,23,23,1.0,23,1.0,0.822066541536262,0.8400165609212419,1.5593289987463965,1.3697983730182957,0.08057637488342916
S_RES_CV,1,tank,23,23,1.0,23,1.0,0.9040128963346808,0.9138338321137816,2.1525901129555285,1.6348486034036154,0.034784012838374796
S_RES_CV,2,condor,8,8,1.0,8,1.0,0.9566406191001706,0.9604977263474135,13.121902999638742,2.0449952834353957,0.011705410034029633
S_RES_CV,2,hangar,3,3,1.0,3,1.0,0.6897774841148238,0.722123809216924,28.030049811803966,21.724956128308133,0.1697262197524073
S_RES_CV,2,helicopter,16,16,1.0,16,1.0,0.9518701869531809,0.9565778240803366,3.7253124798081023,1.4155982927949196,0.014948258385513499
S_RES_CV,2,jammer,10,10,1.0,10,1.0,0.8630102602508833,0.850567386814356,2.897558130998861,2.17955929654231,0.06661583947684951
S_RES_CV,2,jet_plane,19,19,1.0,18,0.9473684210526315,0.9131001375958127,0.9389244762723076,4.259396728367465,1.578722707008873,0.02133409063525504
S_RES_CV,2,large_launcher,22,22,1.0,22,1.0,0.9310978547299723,0.9337992493087658,4.157440847256617,3.399694993164008,0.030485522800194016
S_RES_CV,2,large_tower,16,16,1.0,15,0.9375,0.8329377223221772,0.8778617469960845,6.158421043312721,3.2103773893826992,0.05362117174822801
S_RES_CV,2,medium_launcher,7,7,1.0,6,0.8571428571428571,0.7843006003551436,0.8073866437117728,8.691146392819462,4.154852811662804,0.10815084125446285
S_RES_CV,2,medium_plane,2,2,1.0,2,1.0,0.7365451655270487,0.7365451655270487,9.254352993128029,9.254352993128029,0.1888643467985312
S_RES_CV,2,small_launcher,22,22,1.0,22,1.0,0.828166566836859,0.8531712512397247,1.915713150805085,1.5927626269060595,0.072643839446312
S_RES_CV,2,small_plane,6,6,1.0,6,1.0,0.9071194887236208,0.9116213491625906,1.4694640226259779,1.1647136910767246,0.027086364908761033
S_RES_CV,2,small_tower,17,17,1.0,17,1.0,0.8958191253538446,0.9134084905930823,3.0668215475112923,1.9794521897831998,0.03412848603074482
S_RES_CV,2,spacecraft,20,20,1.0,20,1.0,0.8798231356010191,0.9101047756644813,2.831330489465022,1.6252354211630569,0.03651158752360441
S_RES_CV,2,ta-ta,22,22,1.0,19,0.8636363636363636,0.6958236347007035,0.7086742141871947,3.040058110401382,2.451314766364745,0.15912646753478116
S_RES_CV,2,tank,22,22,1.0,21,0.9545454545454546,0.8244167300752866,0.860366039526687,4.607357163541131,2.7123044090909767,0.059059492646113446
S_RES_CV,3,condor,7,7,1.0,7,1.0,0.9282534820319462,0.9601084046666887,14.900591380398842,2.676214059313683,0.015380540570768294
S_RES_CV,3,hangar,2,2,1.0,1,0.5,0.48744224862968355,0.48744224862968355,62.289163835224294,62.289163835224294,0.4806239564385239
S_RES_CV,3,helicopter,15,15,1.0,15,1.0,0.9204824885949542,0.9328958527371866,4.61943318284065,2.1263386012961187,0.023366358256001304
S_RES_CV,3,jammer,9,9,1.0,9,1.0,0.7893531053658521,0.7918603621151225,4.063414958623144,4.246463371023517,0.1327019803444849
S_RES_CV,3,jet_plane,18,18,1.0,17,0.9444444444444444,0.8805064849967018,0.9045585425440767,6.672499299494883,2.98570787817713,0.037574019011640473
S_RES_CV,3,large_launcher,21,21,1.0,21,1.0,0.893728344279439,0.9027107979760941,6.8071594629165775,4.833876594302396,0.04315961244912853
S_RES_CV,3,large_tower,15,15,1.0,14,0.9333333333333333,0.7663339211221821,0.8351132190661222,9.640035061085975,4.321823246771936,0.06970682656083768
S_RES_CV,3,medium_launcher,6,6,1.0,5,0.8333333333333334,0.6847650993232367,0.7456252439763054,16.77761698149408,13.036479324611262,0.521361801959092
S_RES_CV,3,medium_plane,1,1,1.0,0,0.0,0.4152424028617436,0.4152424028617436,26.661799179998944,26.661799179998944,0.5441183506122234
S_RES_CV,3,small_launcher,21,21,1.0,19,0.9047619047619048,0.7485951337753249,0.7254126776042584,3.14499777368239,2.520393200435144,0.12001872383024495
S_RES_CV,3,small_plane,5,5,1.0,5,1.0,0.8596830727756439,0.8726353768536276,2.467112722415016,2.176494796780584,0.05061615806466475
S_RES_CV,3,small_tower,16,16,1.0,16,1.0,0.8488784540216213,0.8653115658086536,4.62700009510791,3.775352423220797,0.066341562921757
S_RES_CV,3,spacecraft,19,19,1.0,18,0.9473684210526315,0.8265380356093159,0.8705000409929798,3.716855848398754,2.4833681029841626,0.05398626310835136
S_RES_CV,3,ta-ta,21,21,1.0,16,0.7619047619047619,0.5663384702183352,0.6482983096142064,5.248305175113598,3.441207047503935,0.22596107110596186
S_RES_CV,3,tank,21,21,1.0,18,0.8571428571428571,0.7479661941195778,0.8303156604885302,7.563714869353197,3.5313531282203168,0.07206843118816973
S_RES_CV,4,condor,6,6,1.0,6,1.0,0.9120163152053938,0.9391768648605616,17.31130946430905,6.9885957501205676,0.04072538528641571
S_RES_CV,4,hangar,1,1,1.0,0,0.0,0.40748217404559645,0.40748217404559645,78.68929463447756,78.68929463447756,0.6053022664190582
S_RES_CV,4,helicopter,14,14,1.0,14,1.0,0.8871691977988144,0.9178880942377392,6.238895458233754,2.8810368981069754,0.029902603692395696
S_RES_CV,4,jammer,8,8,1.0,8,1.0,0.7056634975313973,0.67030213278219,5.033567130195477,4.29705878469155,0.13928290038121346
S_RES_CV,4,jet_plane,17,17,1.0,16,0.9411764705882353,0.8459687401049456,0.8932971182147778,9.467411590762323,3.7654803502601593,0.04536723313566457
S_RES_CV,4,large_launcher,20,20,1.0,20,1.0,0.8422347199827849,0.8564195368729766,10.663114004930135,8.950780118059331,0.08568045153548208
S_RES_CV,4,large_tower,14,14,1.0,13,0.9285714285714286,0.6850243571789072,0.7221927548572369,14.235162134581648,8.015067513305645,0.13015547984462916
S_RES_CV,4,medium_launcher,5,5,1.0,3,0.6,0.5610284449192797,0.7686383978698715,22.021251992548354,15.509135368322454,0.7049606985601116
S_RES_CV,4,small_launcher,20,20,1.0,17,0.85,0.6622018978241184,0.7060796032758263,4.637412190865762,3.55875406356349,0.1584781972422356
S_RES_CV,4,small_plane,4,4,1.0,4,1.0,0.7991390523494268,0.7817883618956967,3.962792223775229,3.9094232389472863,0.08982294972971372
S_RES_CV,4,small_tower,15,15,1.0,15,1.0,0.7761465886914604,0.7746974646704017,6.474840298424454,6.02096503522691,0.1075172327719091
S_RES_CV,4,spacecraft,18,18,1.0,17,0.9444444444444444,0.7868530829434393,0.8341938411764018,4.579998543090754,3.371304321135061,0.07463319893448826
S_RES_CV,4,ta-ta,20,20,1.0,12,0.6,0.46699309042417214,0.5312959566950304,7.401624374973214,5.322309726139663,0.34428774158421366
S_RES_CV,4,tank,20,20,1.0,17,0.85,0.6793886775775824,0.7249096075367061,10.722261931415893,5.924800929461211,0.1229972431139368
S_RES_CV,5,condor,5,5,1.0,5,1.0,0.8798471328601464,0.922438645960313,20.69872016562495,12.299009256239394,0.07192403073824206
S_RES_CV,5,helicopter,13,13,1.0,13,1.0,0.8478760897066285,0.8733577443010698,8.463213641735239,5.406180316187827,0.05300176780576301
S_RES_CV,5,jammer,7,7,1.0,5,0.7142857142857143,0.6347017679698407,0.630493011856812,7.180761995665466,6.219227791684197,0.21455282110480065
S_RES_CV,5,jet_plane,16,16,1.0,15,0.9375,0.8103726014825536,0.8681466988206756,12.655215688821642,4.748781076738339,0.059288482815331826
S_RES_CV,5,large_launcher,19,19,1.0,19,1.0,0.7911215142792197,0.8054984482289513,14.952026234270463,13.513556983146087,0.12512552762172302
S_RES_CV,5,large_tower,13,13,1.0,10,0.7692307692307693,0.619186231973466,0.6796603526861744,18.7731687005994,9.229486152070628,0.14649978019159726
S_RES_CV,5,medium_launcher,4,4,1.0,3,0.75,0.5799377531949697,0.6869630109810658,27.361418454682386,15.46860377681176,0.9907669555436867
S_RES_CV,5,small_launcher,19,19,1.0,15,0.7894736842105263,0.5974397363331697,0.6268754555076324,5.997834261007372,4.5281076270922584,0.21405563103825098
S_RES_CV,5,small_plane,3,3,1.0,3,1.0,0.7330318056130923,0.6726425817301501,5.972938559751827,6.078899041406546,0.1381567963956033
