model,horizon,any_boundary,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,16,0,39,39,1.0,26,0.6666666666666666,0.6085898101494929,0.6439812719809093,8.471861439653848,5.544392808872183,0.18426135862963455
A_FIXED,16,1,11,11,1.0,9,0.8181818181818182,0.6420142142591505,0.7171870932605967,18.700342363076047,17.363880710174346,0.297873846561082
A_FIXED,17,0,30,30,1.0,20,0.6666666666666666,0.5941960121053537,0.6477630207767218,8.501266004039886,5.668779604879118,0.21899557419347065
A_FIXED,17,1,11,11,1.0,9,0.8181818181818182,0.6321100752536833,0.7190536090100146,18.921474834185105,18.365403046934887,0.30571991160773104
A_FIXED,18,0,23,23,1.0,15,0.6521739130434783,0.571610134919471,0.6557590904501873,9.298506889187546,5.407410454823254,0.23698629814145228
A_FIXED,18,1,9,9,1.0,8,0.8888888888888888,0.6758713331100492,0.7216426515041173,14.924059911626134,15.623131422849013,0.19630517779882697
A_FIXED,19,0,17,17,1.0,11,0.6470588235294118,0.5482790606243415,0.6136364595215562,9.785232685423953,5.289182862133343,0.2770584704390472
A_FIXED,19,1,8,8,1.0,7,0.875,0.6721956360470054,0.7140879787780919,16.95609774800872,18.58725586665953,0.1665643224943423
A_FIXED,20,0,12,12,1.0,8,0.6666666666666666,0.5214555652590923,0.5960239777836533,10.28653620574031,5.5377674645210195,0.26991885807682725
A_FIXED,20,1,7,7,1.0,5,0.7142857142857143,0.6306970544983936,0.6883292029153045,19.07692069333272,18.72171218662449,0.1701973835147681
A_FIXED,21,0,8,8,1.0,5,0.625,0.49599431177195424,0.5735402827972595,10.729889756882276,4.956962290513014,0.3001528768236389
A_FIXED,21,1,5,5,1.0,3,0.6,0.579884681418235,0.7649797780504941,22.843332560010662,23.694798598793874,0.24941893261888287
A_FIXED,22,0,5,5,1.0,3,0.6,0.49236390140113456,0.5328224861568063,9.97809462186504,5.728832218656844,0.2881462048882509
A_FIXED,22,1,3,3,1.0,2,0.6666666666666666,0.5845573307580748,0.7759859271668749,24.959072281931682,24.021387403877764,0.2528567095145028
A_FIXED,23,0,2,2,1.0,1,0.5,0.5443379504629946,0.5443379504629946,5.14441765195213,5.14441765195213,0.26127767718685696
A_FIXED,23,1,2,2,1.0,1,0.5,0.48144580355750627,0.48144580355750627,28.454967051699334,28.454967051699334,0.4383308995695201
A_RES_CV,1,0,204,204,1.0,204,1.0,0.9242535045527879,0.9414151911644406,1.4659202432890408,1.0124789688443712,0.02285518648053002
A_RES_CV,1,1,23,23,1.0,23,1.0,0.8146914742029137,0.85349096390483,12.208311459661154,9.006584407488392,0.1452238252433575
A_RES_CV,2,0,189,189,1.0,187,0.9894179894179894,0.874783278865217,0.8992059053922857,2.6110181814058953,1.8218564782531983,0.04110243977479772
A_RES_CV,2,1,23,23,1.0,19,0.8260869565217391,0.6911495762380235,0.6712306476637542,22.360435347447872,17.06549851459619,0.34103569906037373
A_RES_CV,3,0,175,175,1.0,169,0.9657142857142857,0.8303169670874347,0.8615394716161733,3.6738822525094577,2.513822838516253,0.05723426819385846
A_RES_CV,3,1,22,22,1.0,12,0.5454545454545454,0.5893256026264614,0.5156246168720173,31.467172837606974,28.306595337178713,0.40669521618067533
A_RES_CV,4,0,162,162,1.0,152,0.9382716049382716,0.7857411867052108,0.8287071699818302,4.826097167150245,3.200442361046397,0.07101288314897397
A_RES_CV,4,1,20,20,1.0,11,0.55,0.5898901670363335,0.6707867142027553,37.32286793175977,27.737791275890835,0.5658187371412959
A_RES_CV,5,0,150,150,1.0,137,0.9133333333333333,0.7486797175318983,0.795956799341526,5.853178518829532,4.284112360602842,0.08332824428286131
A_RES_CV,5,1,18,18,1.0,13,0.7222222222222222,0.6178924371532206,0.7184269383039408,40.46824905445175,23.2515079744982,0.6750119861565351
A_RES_CV,6,0,138,138,1.0,122,0.8840579710144928,0.7151612528886315,0.7721434990400236,6.852697327845885,5.222792868675006,0.0911411133791408
A_RES_CV,6,1,17,17,1.0,13,0.7647058823529411,0.5953027832916334,0.6498023244729421,44.95146615655297,25.391405892227446,0.5212680340406605
A_RES_CV,7,0,126,126,1.0,104,0.8253968253968254,0.6771224346178835,0.7231273157337061,8.141320635322083,6.0584230888099455,0.12220792609655406
A_RES_CV,7,1,16,16,1.0,9,0.5625,0.5619142619126207,0.6176300403436386,52.00587729178346,29.19386365517611,1.104026926869535
A_RES_CV,8,0,114,114,1.0,91,0.7982456140350878,0.6471275044984963,0.6886918973568921,9.171479104555495,6.701810192294882,0.142358742280775
A_RES_CV,8,1,15,15,1.0,10,0.6666666666666666,0.561382367013358,0.6736818622238472,58.946779359140244,25.84331144904017,0.36511086872791204
