model,horizon,target_size_bin,eligible_count,available_count,availability_fraction,valid_count,valid_fraction,mean_iou,median_iou,mean_center_error,median_center_error,median_normalized_center_error
A_FIXED,17,4-<8,9,9,1.0,6,0.6666666666666666,0.5789333892526475,0.5547068788974413,5.681430694175199,5.742537969463123,0.25000914455177425
A_FIXED,17,8-<16,14,14,1.0,6,0.42857142857142855,0.5143737400946808,0.44567435654137044,16.895189536269054,17.910915703266163,0.3541916795896084
A_FIXED,17,<4,7,7,1.0,6,0.8571428571428571,0.602039336984998,0.5838319339544757,6.4568218483132105,4.72413997836452,0.31494266522430137
A_FIXED,18,16-32,9,9,1.0,9,1.0,0.7436725539742899,0.7238811482466156,12.783399310955389,9.816664944444904,0.10609007104699238
A_FIXED,18,4-<8,7,7,1.0,5,0.7142857142857143,0.5804600269335508,0.5605539721439502,5.8532061992311295,5.66807310846511,0.2464379612376135
A_FIXED,18,8-<16,9,9,1.0,3,0.3333333333333333,0.47009979282418013,0.33639276385657807,16.30633250075362,21.891179913489168,0.4339600576903991
A_FIXED,18,<4,7,7,1.0,6,0.8571428571428571,0.6061005416310277,0.6186963275420256,6.486023993707117,4.554532474753696,0.3253237481966926
A_FIXED,19,16-32,7,7,1.0,7,1.0,0.7507540798395208,0.7168838031153119,14.014932525757075,11.904697558811328,0.11745782933034231
A_FIXED,19,4-<8,5,5,1.0,3,0.6,0.5746749230017205,0.6136364595215562,5.597600313352107,4.577775877265597,0.1990337337941564
A_FIXED,19,8-<16,7,7,1.0,2,0.2857142857142857,0.403557958498539,0.29565652592411523,19.453553435619835,23.937831679638883,0.4766862278870232
A_FIXED,19,<4,6,6,1.0,6,1.0,0.6241250392691375,0.6217503655018884,6.621722389979671,4.019800948778782,0.2871286391984844
A_FIXED,20,16-32,5,5,1.0,5,1.0,0.7490047965950597,0.7880826678082985,16.381433933508738,15.240545250014142,0.13368899342117668
A_FIXED,20,4-<8,4,4,1.0,3,0.75,0.5648691305757385,0.5834938299099128,5.6546237086005675,5.068161282149102,0.22035483835430875
A_FIXED,20,8-<16,5,5,1.0,1,0.2,0.33277276400901423,0.23650325540698192,22.91750624424123,27.469223620612155,0.5386122278551403
A_FIXED,20,<4,5,5,1.0,4,0.8,0.6007963678549079,0.6028448985489381,7.572736719812134,3.8891207274188173,0.2777943376727727
A_FIXED,21,16-32,3,3,1.0,3,1.0,0.7845467217557426,0.7890273157346218,19.588173522350655,18.951519141133016,0.17228653764666377
A_FIXED,21,4-<8,3,3,1.0,2,0.6666666666666666,0.544197972644798,0.5485137764353081,5.737001028928439,5.5452430911993424,0.24109752570431925
A_FIXED,21,8-<16,3,3,1.0,0,0.0,0.212632738057453,0.22031851113834444,29.26105105478396,28.823720644300586,0.5651709930255017
A_FIXED,21,<4,4,4,1.0,3,0.75,0.560811400973207,0.6189684339496841,9.074276009230593,4.2180824888933035,0.3012916063495217
A_FIXED,22,16-32,2,2,1.0,2,1.0,0.7847698635090047,0.7847698635090047,21.95865650071866,21.95865650071866,0.21686438020070392
A_FIXED,22,4-<8,2,2,1.0,1,0.5,0.5053071694200665,0.5053071694200665,6.339311782153592,6.339311782153592,0.26932715054141493
A_FIXED,22,8-<16,2,2,1.0,0,0.0,0.19841361831845855,0.19841361831845855,30.346459226825765,30.346459226825765,0.5894228403055403
A_FIXED,22,<4,2,2,1.0,2,1.0,0.6192550983924188,0.6192550983924188,3.739417467862103,3.739417467862103,0.26710124770443594
A_FIXED,23,16-32,1,1,1.0,1,1.0,0.7861511595488626,0.7861511595488626,25.017080280837554,25.017080280837554,0.2633376871667111
A_FIXED,23,4-<8,1,1,1.0,0,0.0,0.4630980889074992,0.4630980889074992,7.1353448224134395,7.1353448224134395,0.2973060342672266
A_FIXED,23,8-<16,1,1,1.0,0,0.0,0.17674044756614993,0.17674044756614993,31.892853822561115,31.892853822561115,0.6133241119723292
A_FIXED,23,<4,1,1,1.0,1,1.0,0.6255778120184899,0.6255778120184899,3.1534904814908216,3.1534904814908216,0.22524932010648727
A_RES_CV,1,16-32,62,62,1.0,62,1.0,0.9430208973828186,0.9621117992210404,3.1131624534663573,1.3118686049980202,0.013872822178831297
A_RES_CV,1,4-<8,43,43,1.0,43,1.0,0.8911817799689583,0.8990961759166106,1.617275572557317,0.9301634006029231,0.04647373450072285
A_RES_CV,1,8-<16,105,105,1.0,105,1.0,0.9086996601957253,0.9346453110342601,2.5914858660545113,1.1232557008074786,0.02612222560017392
A_RES_CV,1,<4,8,8,1.0,8,1.0,0.7935202878204053,0.7737116334717059,3.653250371507491,1.9937107649019041,0.138035265443828
A_RES_CV,1,>32,9,9,1.0,9,1.0,0.9706533373245948,0.9817102160373303,1.7719947289453797,0.7139402092194089,0.004199648289525935
A_RES_CV,2,16-32,58,58,1.0,57,0.9827586206896551,0.9018672653552929,0.9317878473978444,5.601118044949896,2.6604887924185614,0.027885671422050316
A_RES_CV,2,4-<8,41,41,1.0,40,0.975609756097561,0.8225859881923666,0.840640657112423,2.4038105044827205,1.4489723758141002,0.07209635921250167
A_RES_CV,2,8-<16,97,97,1.0,93,0.9587628865979382,0.8526890927864096,0.8933969660810842,5.02157919472688,2.2232124933667583,0.04695711871795215
A_RES_CV,2,<4,8,8,1.0,8,1.0,0.6563182373282207,0.6639039093964229,4.793506041447358,3.5539445481358616,0.2538531820097044
A_RES_CV,2,>32,8,8,1.0,8,1.0,0.9043456441998821,0.9712994934753324,7.363767720755461,1.5223020291488183,0.008928758759597328
A_RES_CV,3,16-32,54,54,1.0,51,0.9444444444444444,0.8733054636784902,0.9129742432559269,7.555488446099091,3.5890635864829465,0.038464665780083306
A_RES_CV,3,4-<8,39,39,1.0,38,0.9743589743589743,0.7714556440428028,0.7996053644780821,3.154060248501049,1.948582063624592,0.102423241430377
A_RES_CV,3,8-<16,89,89,1.0,83,0.9325842696629213,0.8037921741222209,0.8477345025019938,6.860776394726273,3.012764677606303,0.06537754908765747
A_RES_CV,3,<4,8,8,1.0,3,0.375,0.4578496628603589,0.4389011781565924,9.8602754690475,5.914974817268242,0.40937928178814564
A_RES_CV,3,>32,7,7,1.0,6,0.8571428571428571,0.8321523631449886,0.9533944797080388,16.387309707514053,2.1573083745593435,0.01261583844771546
A_RES_CV,4,16-32,51,51,1.0,48,0.9411764705882353,0.8495979821738124,0.8983766570680732,9.527039131739278,4.15266969472893,0.04359610852831451
A_RES_CV,4,4-<8,37,37,1.0,35,0.9459459459459459,0.7157410006039365,0.7430183828796995,3.3990382588287993,2.519610924363537,0.11452776928925168
A_RES_CV,4,8-<16,81,81,1.0,74,0.9135802469135802,0.7646101056743084,0.8277126901519237,9.210190488938638,3.9282067605003346,0.07771934573949478
A_RES_CV,4,<4,8,8,1.0,2,0.25,0.39355764494389656,0.3422196857402934,10.271109626940948,7.251848138478911,0.5061910545739553
A_RES_CV,4,>32,5,5,1.0,4,0.8,0.838816350918117,0.9347998687285619,17.689476359721816,2.6593741534068016,0.015196423733753153
A_RES_CV,5,16-32,48,48,1.0,46,0.9583333333333334,0.8266638821424489,0.8629142867637454,11.26073245281809,5.436526869563263,0.06324351037945761
A_RES_CV,5,4-<8,35,35,1.0,32,0.9142857142857143,0.6632404972296084,0.7007427182310713,4.5993481627118005,3.686397058377215,0.16054342693599427
A_RES_CV,5,8-<16,74,74,1.0,65,0.8783783783783784,0.7303432441831397,0.7981930224496081,11.04550076661484,4.710950781603136,0.08877562520138718
A_RES_CV,5,<4,8,8,1.0,4,0.5,0.46033856195994555,0.47646678310193336,9.43748813782404,7.158991061239894,0.49468651205897696
A_RES_CV,5,>32,3,3,1.0,3,1.0,0.9342097291456595,0.9241759247936667,4.015318514096502,3.3653511712497193,0.019230578121426967
A_RES_CV,6,16-32,45,45,1.0,44,0.9777777777777777,0.8153261113892106,0.8454109459164039,12.36085054281445,6.82070522795709,0.06826672296433502
A_RES_CV,6,4-<8,33,33,1.0,30,0.9090909090909091,0.616687241484622,0.6337308347529813,5.020214017019747,4.4182382394195905,0.20082901088270866
A_RES_CV,6,8-<16,67,67,1.0,56,0.835820895522388,0.694903561568454,0.7763239237337042,13.369620891790627,5.749100693600553,0.10964381430626378
