class,cohort,method,horizon,count,valid_count,valid_fraction,mean_iou,median_iou
large_launcher,all_available,hold,21,4,0,0.0,0.0,0.0
large_launcher,all_available,hold,22,3,0,0.0,0.0,0.0
large_launcher,all_available,hold,23,2,0,0.0,0.0,0.0
large_launcher,all_available,hold,24,1,0,0.0,0.0,0.0
large_launcher,all_available,velocity,1,23,23,1.0,0.9760139516717506,0.9757033248081841
large_launcher,all_available,velocity,2,22,22,1.0,0.9382481530251695,0.936398686881112
large_launcher,all_available,velocity,3,21,21,1.0,0.8873805302762638,0.8871094775531636
large_launcher,all_available,velocity,4,20,20,1.0,0.8197413320113748,0.8193659970788701
large_launcher,all_available,velocity,5,19,19,1.0,0.7477275154880751,0.7468474647813012
large_launcher,all_available,velocity,6,18,18,1.0,0.6692440169347568,0.6702698651126262
large_launcher,all_available,velocity,7,17,17,1.0,0.5868862780131613,0.5917286712009859
large_launcher,all_available,velocity,8,16,11,0.6875,0.5042710739954699,0.5049635507301411
large_launcher,all_available,velocity,9,15,0,0.0,0.4238793559267634,0.4257222073159825
large_launcher,all_available,velocity,10,14,0,0.0,0.34217634850208284,0.3455392245261624
large_launcher,all_available,velocity,11,13,0,0.0,0.26777362754569284,0.26984572230014026
large_launcher,all_available,velocity,12,12,0,0.0,0.1972271764254769,0.19823441644562334
large_launcher,all_available,velocity,13,11,0,0.0,0.13152761805732074,0.12933634992458523
large_launcher,all_available,velocity,14,10,0,0.0,0.06606370070121452,0.06887178892869254
large_launcher,all_available,velocity,15,9,0,0.0,0.016622789846050194,0.008560894832218958
large_launcher,all_available,velocity,16,8,0,0.0,0.0,0.0
large_launcher,all_available,velocity,17,7,0,0.0,0.0,0.0
large_launcher,all_available,velocity,18,6,0,0.0,0.0,0.0
large_launcher,all_available,velocity,19,5,0,0.0,0.0,0.0
large_launcher,all_available,velocity,20,4,0,0.0,0.0,0.0
large_launcher,all_available,velocity,21,3,0,0.0,0.0,0.0
large_launcher,all_available,velocity,22,2,0,0.0,0.0,0.0
large_launcher,all_available,velocity,23,1,0,0.0,0.0,0.0
large_tower,all_available,hold,1,18,0,0.0,0.03979904221520811,0.029445236335354442
large_tower,all_available,hold,2,17,0,0.0,0.0,0.0
large_tower,all_available,hold,3,16,0,0.0,0.0,0.0
large_tower,all_available,hold,4,15,0,0.0,0.0,0.0
large_tower,all_available,hold,5,14,0,0.0,0.0,0.0
large_tower,all_available,hold,6,13,0,0.0,0.0,0.0
large_tower,all_available,hold,7,12,0,0.0,0.0,0.0
large_tower,all_available,hold,8,11,0,0.0,0.0,0.0
large_tower,all_available,hold,9,10,0,0.0,0.0,0.0
large_tower,all_available,hold,10,9,0,0.0,0.0,0.0
large_tower,all_available,hold,11,8,0,0.0,0.0,0.0
large_tower,all_available,hold,12,7,0,0.0,0.0,0.0
large_tower,all_available,hold,13,6,0,0.0,0.0,0.0
large_tower,all_available,hold,14,5,0,0.0,0.0,0.0
large_tower,all_available,hold,15,4,0,0.0,0.0,0.0
large_tower,all_available,hold,16,3,0,0.0,0.0,0.0
large_tower,all_available,hold,17,2,0,0.0,0.0,0.0
large_tower,all_available,hold,18,1,0,0.0,0.0,0.0
large_tower,all_available,velocity,1,17,17,1.0,0.9338783152811546,0.9540791402051783
large_tower,all_available,velocity,2,16,15,0.9375,0.8646940379546594,0.8971635467168422
large_tower,all_available,velocity,3,15,14,0.9333333333333333,0.7784821607001022,0.8146551724137931
large_tower,all_available,velocity,4,14,13,0.9285714285714286,0.6824306225380316,0.7270313127722314
large_tower,all_available,velocity,5,13,12,0.9230769230769231,0.5852462051297466,0.6255843603909902
large_tower,all_available,velocity,6,12,7,0.5833333333333334,0.47746442806958495,0.5068927689732128
large_tower,all_available,velocity,7,11,0,0.0,0.37745022303077563,0.40634291377601583
large_tower,all_available,velocity,8,10,0,0.0,0.28975622926176553,0.3127843513489033
large_tower,all_available,velocity,9,9,0,0.0,0.19357839332780594,0.21144139091418956
large_tower,all_available,velocity,10,8,0,0.0,0.11544603250056057,0.12123483541628521
large_tower,all_available,velocity,11,7,0,0.0,0.04953493508742816,0.03798297314996726
large_tower,all_available,velocity,12,6,0,0.0,0.006718467934911529,0.0
large_tower,all_available,velocity,13,5,0,0.0,0.0,0.0
large_tower,all_available,velocity,14,4,0,0.0,0.0,0.0
large_tower,all_available,velocity,15,3,0,0.0,0.0,0.0
large_tower,all_available,velocity,16,2,0,0.0,0.0,0.0
large_tower,all_available,velocity,17,1,0,0.0,0.0,0.0
medium_launcher,all_available,hold,1,9,0,0.0,0.0,0.0
medium_launcher,all_available,hold,2,8,0,0.0,0.0,0.0
medium_launcher,all_available,hold,3,7,0,0.0,0.0,0.0
medium_launcher,all_available,hold,4,6,0,0.0,0.0,0.0
medium_launcher,all_available,hold,5,5,0,0.0,0.0,0.0
medium_launcher,all_available,hold,6,4,0,0.0,0.0,0.0
medium_launcher,all_available,hold,7,3,0,0.0,0.0,0.0
medium_launcher,all_available,hold,8,2,0,0.0,0.0,0.0
medium_launcher,all_available,hold,9,1,0,0.0,0.0,0.0
medium_launcher,all_available,velocity,1,8,8,1.0,0.9014890798835822,0.9483150636819048
medium_launcher,all_available,velocity,2,7,6,0.8571428571428571,0.793356329687667,0.8693181818181818
medium_launcher,all_available,velocity,3,6,5,0.8333333333333334,0.6577778022019155,0.767321851863247
medium_launcher,all_available,velocity,4,5,4,0.8,0.5631807636340942,0.648036253776435
medium_launcher,all_available,velocity,5,4,2,0.5,0.42628410207125084,0.476858308796942
medium_launcher,all_available,velocity,6,3,0,0.0,0.29899103110128594,0.3333333333333333
medium_launcher,all_available,velocity,7,2,0,0.0,0.17475828671872995,0.17475828671872995
medium_launcher,all_available,velocity,8,1,0,0.0,0.019444906099385074,0.019444906099385074
medium_plane,all_available,hold,1,4,0,0.0,0.0,0.0
medium_plane,all_available,hold,2,3,0,0.0,0.0,0.0
medium_plane,all_available,hold,3,2,0,0.0,0.0,0.0
medium_plane,all_available,hold,4,1,0,0.0,0.0,0.0
medium_plane,all_available,velocity,1,3,3,1.0,0.8782575940749521,0.9434889434889435
medium_plane,all_available,velocity,2,2,2,1.0,0.7292415473652147,0.7292415473652147
medium_plane,all_available,velocity,3,1,0,0.0,0.430622009569378,0.430622009569378
mine_roller,all_available,hold,1,1,0,0.0,0.0,0.0
small_launcher,all_available,hold,1,24,0,0.0,0.0,0.0
small_launcher,all_available,hold,2,23,0,0.0,0.0,0.0
small_launcher,all_available,hold,3,22,0,0.0,0.0,0.0
small_launcher,all_available,hold,4,21,0,0.0,0.0,0.0
small_launcher,all_available,hold,5,20,0,0.0,0.0,0.0
small_launcher,all_available,hold,6,19,0,0.0,0.0,0.0
small_launcher,all_available,hold,7,18,0,0.0,0.0,0.0
small_launcher,all_available,hold,8,17,0,0.0,0.0,0.0
small_launcher,all_available,hold,9,16,0,0.0,0.0,0.0
small_launcher,all_available,hold,10,15,0,0.0,0.0,0.0
small_launcher,all_available,hold,11,14,0,0.0,0.0,0.0
small_launcher,all_available,hold,12,13,0,0.0,0.0,0.0
small_launcher,all_available,hold,13,12,0,0.0,0.0,0.0
small_launcher,all_available,hold,14,11,0,0.0,0.0,0.0
small_launcher,all_available,hold,15,10,0,0.0,0.0,0.0
small_launcher,all_available,hold,16,9,0,0.0,0.0,0.0
small_launcher,all_available,hold,17,8,0,0.0,0.0,0.0
small_launcher,all_available,hold,18,7,0,0.0,0.0,0.0
small_launcher,all_available,hold,19,6,0,0.0,0.0,0.0
small_launcher,all_available,hold,20,5,0,0.0,0.0,0.0
small_launcher,all_available,hold,21,4,0,0.0,0.0,0.0
small_launcher,all_available,hold,22,3,0,0.0,0.0,0.0
small_launcher,all_available,hold,23,2,0,0.0,0.0,0.0
small_launcher,all_available,hold,24,1,0,0.0,0.0,0.0
small_launcher,all_available,velocity,1,23,23,1.0,0.9217449628415063,0.9263888888888889
small_launcher,all_available,velocity,2,22,22,1.0,0.8026674176123433,0.7982035928143713
small_launcher,all_available,velocity,3,21,21,1.0,0.6623950283025213,0.6618705035971223
small_launcher,all_available,velocity,4,20,11,0.55,0.5067053689318641,0.5018160151064417
small_launcher,all_available,velocity,5,19,1,0.05263157894736842,0.35719450263010477,0.36102564102564105
small_launcher,all_available,velocity,6,18,0,0.0,0.21930827066882227,0.21526638223389127
small_launcher,all_available,velocity,7,17,0,0.0,0.09494594218386922,0.06973058637083994
small_launcher,all_available,velocity,8,16,0,0.0,0.01934502245935617,0.0
small_launcher,all_available,velocity,9,15,0,0.0,0.0,0.0
small_launcher,all_available,velocity,10,14,0,0.0,0.0,0.0
small_launcher,all_available,velocity,11,13,0,0.0,0.0,0.0
small_launcher,all_available,velocity,12,12,0,0.0,0.0,0.0
small_launcher,all_available,velocity,13,11,0,0.0,0.0,0.0
small_launcher,all_available,velocity,14,10,0,0.0,0.0,0.0
small_launcher,all_available,velocity,15,9,0,0.0,0.0,0.0
