class,origin_frame,target_frame,horizon,method,common_cohort,iou,valid_at_050,prediction_legal,origin_boundary,target_boundary
helicopter,2,10,8,hold,True,0.0,False,True,0,0
helicopter,2,11,9,hold,True,0.0,False,True,0,0
helicopter,2,12,10,hold,True,0.0,False,True,0,0
helicopter,2,13,11,hold,True,0.0,False,True,0,0
helicopter,2,14,12,hold,True,0.0,False,True,0,0
helicopter,2,15,13,hold,True,0.0,False,True,0,0
helicopter,2,16,14,hold,True,0.0,False,True,0,0
helicopter,2,17,15,hold,True,0.0,False,True,0,0
helicopter,2,18,16,hold,True,0.0,False,True,0,1
helicopter,2,3,1,velocity,True,0.9693069306930693,True,True,0,0
helicopter,2,4,2,velocity,True,0.9199771906481657,True,True,0,0
helicopter,2,5,3,velocity,True,0.8644795759846478,True,True,0,0
helicopter,2,6,4,velocity,True,0.7941892832289492,True,True,0,0
helicopter,2,7,5,velocity,True,0.7125506072874493,True,True,0,0
helicopter,2,8,6,velocity,True,0.6295787545787546,True,True,0,0
helicopter,2,9,7,velocity,True,0.54253037884203,True,True,0,0
helicopter,2,10,8,velocity,True,0.44933456318355514,False,True,0,0
helicopter,2,11,9,velocity,True,0.3647304433255557,False,True,0,0
helicopter,2,12,10,velocity,True,0.2815699658703072,False,True,0,0
helicopter,2,13,11,velocity,True,0.20359598096245374,False,True,0,0
helicopter,2,14,12,velocity,True,0.12834224598930483,False,True,0,0
helicopter,2,15,13,velocity,True,0.05940059400594006,False,True,0,0
helicopter,2,16,14,velocity,True,0.0,False,True,0,0
helicopter,2,17,15,velocity,True,0.0,False,True,0,0
helicopter,2,18,16,velocity,True,0.0,False,True,0,1
helicopter,3,4,1,hold,True,0.15609784040785932,False,True,0,0
helicopter,3,5,2,hold,True,0.0,False,True,0,0
helicopter,3,6,3,hold,True,0.0,False,True,0,0
helicopter,3,7,4,hold,True,0.0,False,True,0,0
helicopter,3,8,5,hold,True,0.0,False,True,0,0
helicopter,3,9,6,hold,True,0.0,False,True,0,0
helicopter,3,10,7,hold,True,0.0,False,True,0,0
helicopter,3,11,8,hold,True,0.0,False,True,0,0
helicopter,3,12,9,hold,True,0.0,False,True,0,0
helicopter,3,13,10,hold,True,0.0,False,True,0,0
helicopter,3,14,11,hold,True,0.0,False,True,0,0
helicopter,3,15,12,hold,True,0.0,False,True,0,0
helicopter,3,16,13,hold,True,0.0,False,True,0,0
helicopter,3,17,14,hold,True,0.0,False,True,0,0
helicopter,3,18,15,hold,True,0.0,False,True,0,1
helicopter,3,4,1,velocity,True,0.9782608695652174,True,True,0,0
helicopter,3,5,2,velocity,True,0.9468085106382979,True,True,0,0
helicopter,3,6,3,velocity,True,0.8803617802453658,True,True,0,0
helicopter,3,7,4,velocity,True,0.8122380553227159,True,True,0,0
helicopter,3,8,5,velocity,True,0.7387580299785867,True,True,0,0
helicopter,3,9,6,velocity,True,0.6468324452338662,True,True,0,0
helicopter,3,10,7,velocity,True,0.5541149174286885,True,True,0,0
helicopter,3,11,8,velocity,True,0.46253164556962023,False,True,0,0
helicopter,3,12,9,velocity,True,0.37664618086040386,False,True,0,0
helicopter,3,13,10,velocity,True,0.2912652884511311,False,True,0,0
helicopter,3,14,11,velocity,True,0.20841167738743197,False,True,0,0
helicopter,3,15,12,velocity,True,0.13459257231499225,False,True,0,0
helicopter,3,16,13,velocity,True,0.05924190444314283,False,True,0,0
helicopter,3,17,14,velocity,True,0.0,False,True,0,0
helicopter,3,18,15,velocity,True,0.0,False,True,0,1
helicopter,4,5,1,hold,True,0.15514809590973203,False,True,0,0
helicopter,4,6,2,hold,True,0.0,False,True,0,0
helicopter,4,7,3,hold,True,0.0,False,True,0,0
helicopter,4,8,4,hold,True,0.0,False,True,0,0
helicopter,4,9,5,hold,True,0.0,False,True,0,0
helicopter,4,10,6,hold,True,0.0,False,True,0,0
helicopter,4,11,7,hold,True,0.0,False,True,0,0
helicopter,4,12,8,hold,True,0.0,False,True,0,0
helicopter,4,13,9,hold,True,0.0,False,True,0,0
helicopter,4,14,10,hold,True,0.0,False,True,0,0
helicopter,4,15,11,hold,True,0.0,False,True,0,0
helicopter,4,16,12,hold,True,0.0,False,True,0,0
helicopter,4,17,13,hold,True,0.0,False,True,0,0
helicopter,4,18,14,hold,True,0.0,False,True,0,1
helicopter,4,5,1,velocity,True,0.9891304347826086,True,True,0,0
helicopter,4,6,2,velocity,True,0.9392316217214629,True,True,0,0
helicopter,4,7,3,velocity,True,0.884260066236709,True,True,0,0
helicopter,4,8,4,velocity,True,0.821838125311617,True,True,0,0
helicopter,4,9,5,velocity,True,0.7354546872562783,True,True,0,0
helicopter,4,10,6,velocity,True,0.6452824736309782,True,True,0,0
helicopter,4,11,7,velocity,True,0.5537923614846691,True,True,0,0
helicopter,4,12,8,velocity,True,0.46706586826347307,False,True,0,0
helicopter,4,13,9,velocity,True,0.37855327016408596,False,True,0,0
helicopter,4,14,10,velocity,True,0.29059874227131005,False,True,0,0
helicopter,4,15,11,velocity,True,0.21295483367476345,False,True,0,0
helicopter,4,16,12,velocity,True,0.13188483547925609,False,True,0,0
helicopter,4,17,13,velocity,True,0.058435127104655,False,True,0,0
helicopter,4,18,14,velocity,True,0.0,False,True,0,1
helicopter,5,6,1,hold,True,0.1463495759188425,False,True,0,0
helicopter,5,7,2,hold,True,0.0,False,True,0,0
helicopter,5,8,3,hold,True,0.0,False,True,0,0
helicopter,5,9,4,hold,True,0.0,False,True,0,0
helicopter,5,10,5,hold,True,0.0,False,True,0,0
helicopter,5,11,6,hold,True,0.0,False,True,0,0
helicopter,5,12,7,hold,True,0.0,False,True,0,0
helicopter,5,13,8,hold,True,0.0,False,True,0,0
helicopter,5,14,9,hold,True,0.0,False,True,0,0
helicopter,5,15,10,hold,True,0.0,False,True,0,0
helicopter,5,16,11,hold,True,0.0,False,True,0,0
helicopter,5,17,12,hold,True,0.0,False,True,0,0
helicopter,5,18,13,hold,True,0.0,False,True,0,1
helicopter,5,6,1,velocity,True,0.9594339622641509,True,True,0,0
helicopter,5,7,2,velocity,True,0.9116722077455297,True,True,0,0
helicopter,5,8,3,velocity,True,0.8547968885047537,True,True,0,0
helicopter,5,9,4,velocity,True,0.7706137125112364,True,True,0,0
helicopter,5,10,5,velocity,True,0.6800670016750419,True,True,0,0
helicopter,5,11,6,velocity,True,0.5866514709024859,True,True,0,0
helicopter,5,12,7,velocity,True,0.4968152866242038,False,True,0,0
helicopter,5,13,8,velocity,True,0.4039706517047907,False,True,0,0
helicopter,5,14,9,velocity,True,0.3106253177427555,False,True,0,0
helicopter,5,15,10,velocity,True,0.22800146221734816,False,True,0,0
helicopter,5,16,11,velocity,True,0.14128352490421456,False,True,0,0
helicopter,5,17,12,velocity,True,0.06263546689078604,False,True,0,0
helicopter,5,18,13,velocity,True,0.0,False,True,0,1
helicopter,6,7,1,hold,True,0.15056155390374912,False,True,0,0
helicopter,6,8,2,hold,True,0.0,False,True,0,0
helicopter,6,9,3,hold,True,0.0,False,True,0,0
helicopter,6,10,4,hold,True,0.0,False,True,0,0
helicopter,6,11,5,hold,True,0.0,False,True,0,0
helicopter,6,12,6,hold,True,0.0,False,True,0,0
helicopter,6,13,7,hold,True,0.0,False,True,0,0
helicopter,6,14,8,hold,True,0.0,False,True,0,0
helicopter,6,15,9,hold,True,0.0,False,True,0,0
helicopter,6,16,10,hold,True,0.0,False,True,0,0
helicopter,6,17,11,hold,True,0.0,False,True,0,0
helicopter,6,18,12,hold,True,0.0,False,True,0,1
helicopter,6,7,1,velocity,True,0.9721554116558742,True,True,0,0
helicopter,6,8,2,velocity,True,0.934052111410602,True,True,0,0
helicopter,6,9,3,velocity,True,0.877859300820026,True,True,0,0
helicopter,6,10,4,velocity,True,0.7963547995139733,True,True,0,0
helicopter,6,11,5,velocity,True,0.7199109610070618,True,True,0,0
helicopter,6,12,6,velocity,True,0.6341007194244604,True,True,0,0
helicopter,6,13,7,velocity,True,0.5493214502734454,True,True,0,0
helicopter,6,14,8,velocity,True,0.4574898785425101,False,True,0,0
helicopter,6,15,9,velocity,True,0.37244130912455187,False,True,0,0
helicopter,6,16,10,velocity,True,0.2830872554767869,False,True,0,0
helicopter,6,17,11,velocity,True,0.2011968940105841,False,True,0,0
helicopter,6,18,12,velocity,True,0.19666424945612762,False,True,0,1
helicopter,7,8,1,hold,True,0.14955794377680132,False,True,0,0
helicopter,7,9,2,hold,True,0.0,False,True,0,0
helicopter,7,10,3,hold,True,0.0,False,True,0,0
helicopter,7,11,4,hold,True,0.0,False,True,0,0
helicopter,7,12,5,hold,True,0.0,False,True,0,0
helicopter,7,13,6,hold,True,0.0,False,True,0,0
helicopter,7,14,7,hold,True,0.0,False,True,0,0
helicopter,7,15,8,hold,True,0.0,False,True,0,0
helicopter,7,16,9,hold,True,0.0,False,True,0,0
helicopter,7,17,10,hold,True,0.0,False,True,0,0
helicopter,7,18,11,hold,True,0.0,False,True,0,1
helicopter,7,8,1,velocity,True,0.9707977207977208,True,True,0,0
helicopter,7,9,2,velocity,True,0.9070119387926686,True,True,0,0
helicopter,7,10,3,velocity,True,0.8461780929866036,True,True,0,0
helicopter,7,11,4,velocity,True,0.7630805408583187,True,True,0,0
helicopter,7,12,5,velocity,True,0.6923076923076923,True,True,0,0
helicopter,7,13,6,velocity,True,0.6022106466776775,True,True,0,0
helicopter,7,14,7,velocity,True,0.5135763707192279,True,True,0,0
helicopter,7,15,8,velocity,True,0.4310492505353319,False,True,0,0
helicopter,7,16,9,velocity,True,0.34315500954431993,False,True,0,0
helicopter,7,17,10,velocity,True,0.26240432237730754,False,True,0,0
helicopter,7,18,11,velocity,True,0.278775864205179,False,True,0,1
helicopter,8,9,1,hold,True,0.14116177389131793,False,True,0,0
helicopter,8,10,2,hold,True,0.0,False,True,0,0
helicopter,8,11,3,hold,True,0.0,False,True,0,0
helicopter,8,12,4,hold,True,0.0,False,True,0,0
helicopter,8,13,5,hold,True,0.0,False,True,0,0
helicopter,8,14,6,hold,True,0.0,False,True,0,0
helicopter,8,15,7,hold,True,0.0,False,True,0,0
helicopter,8,16,8,hold,True,0.0,False,True,0,0
helicopter,8,17,9,hold,True,0.0,False,True,0,0
helicopter,8,18,10,hold,True,0.0,False,True,0,1
helicopter,8,9,1,velocity,True,0.9606411398040962,True,True,0,0
helicopter,8,10,2,velocity,True,0.9043574280132507,True,True,0,0
helicopter,8,11,3,velocity,True,0.8346303501945526,True,True,0,0
helicopter,8,12,4,velocity,True,0.7619926199261993,True,True,0,0
helicopter,8,13,5,velocity,True,0.6749203591080221,True,True,0,0
helicopter,8,14,6,velocity,True,0.5760331683830413,True,True,0,0
helicopter,8,15,7,velocity,True,0.48995633187772925,False,True,0,0
helicopter,8,16,8,velocity,True,0.3894023767150812,False,True,0,0
helicopter,8,17,9,velocity,True,0.297420898697155,False,True,0,0
helicopter,8,18,10,velocity,True,0.3480097481722177,False,True,0,1
helicopter,9,10,1,hold,True,0.13950642463797674,False,True,0,0
helicopter,9,11,2,hold,True,0.0,False,True,0,0
helicopter,9,12,3,hold,True,0.0,False,True,0,0
helicopter,9,13,4,hold,True,0.0,False,True,0,0
helicopter,9,14,5,hold,True,0.0,False,True,0,0
helicopter,9,15,6,hold,True,0.0,False,True,0,0
helicopter,9,16,7,hold,True,0.0,False,True,0,0
helicopter,9,17,8,hold,True,0.0,False,True,0,0
helicopter,9,18,9,hold,True,0.0,False,True,0,1
helicopter,9,10,1,velocity,True,0.9629500174764068,True,True,0,0
helicopter,9,11,2,velocity,True,0.9245379006274377,True,True,0,0
helicopter,9,12,3,velocity,True,0.8651102464332037,True,True,0,0
helicopter,9,13,4,velocity,True,0.7990712074303405,True,True,0,0
helicopter,9,14,5,velocity,True,0.7124277456647399,True,True,0,0
helicopter,9,15,6,velocity,True,0.6288114920720965,True,True,0,0
helicopter,9,16,7,velocity,True,0.5322438717787555,True,True,0,0
helicopter,9,17,8,velocity,True,0.4420731707317073,False,True,0,0
helicopter,9,18,9,velocity,True,0.42246501820969906,False,True,0,1
helicopter,10,11,1,hold,True,0.1379034675726991,False,True,0,0
helicopter,10,12,2,hold,True,0.0,False,True,0,0
helicopter,10,13,3,hold,True,0.0,False,True,0,0
helicopter,10,14,4,hold,True,0.0,False,True,0,0
helicopter,10,15,5,hold,True,0.0,False,True,0,0
helicopter,10,16,6,hold,True,0.0,False,True,0,0
helicopter,10,17,7,hold,True,0.0,False,True,0,0
helicopter,10,18,8,hold,True,0.0,False,True,0,1
helicopter,10,11,1,velocity,True,0.9634291546181324,True,True,0,0
helicopter,10,12,2,velocity,True,0.9347326992456543,True,True,0,0
helicopter,10,13,3,velocity,True,0.8667287977632805,True,True,0,0
helicopter,10,14,4,velocity,True,0.7885590152063722,True,True,0,0
helicopter,10,15,5,velocity,True,0.7109364412522022,True,True,0,0
helicopter,10,16,6,velocity,True,0.6163096580232995,True,True,0,0
helicopter,10,17,7,velocity,True,0.5265239646347138,True,True,0,0
helicopter,10,18,8,velocity,True,0.45445847684653656,False,True,0,1
helicopter,11,12,1,hold,True,0.1371293468623781,False,True,0,0
helicopter,11,13,2,hold,True,0.0,False,True,0,0
helicopter,11,14,3,hold,True,0.0,False,True,0,0
helicopter,11,15,4,hold,True,0.0,False,True,0,0
helicopter,11,16,5,hold,True,0.0,False,True,0,0
helicopter,11,17,6,hold,True,0.0,False,True,0,0
helicopter,11,18,7,hold,True,0.0,False,True,0,1
helicopter,11,12,1,velocity,True,0.9734648749787379,True,True,0,0
helicopter,11,13,2,velocity,True,0.9351163942545815,True,True,0,0
helicopter,11,14,3,velocity,True,0.8660212367270456,True,True,0,0
helicopter,11,15,4,velocity,True,0.7952895867278922,True,True,0,0
helicopter,11,16,5,velocity,True,0.7030622142164334,True,True,0,0
helicopter,11,17,6,velocity,True,0.6145033198802239,True,True,0,0
helicopter,11,18,7,velocity,True,0.5259207131128313,True,True,0,1
helicopter,12,13,1,hold,True,0.12994350282485875,False,True,0,0
helicopter,12,14,2,hold,True,0.0,False,True,0,0
helicopter,12,15,3,hold,True,0.0,False,True,0,0
