class,origin_frame,method,available_future,valid_prefix_frames,valid_prefix_s,failure_observed,right_censored
large_launcher,20,velocity,4,4,1.3333333333333333,False,True
large_launcher,21,hold,3,0,0.0,True,False
large_launcher,21,velocity,3,3,1.0,False,True
large_launcher,22,hold,2,0,0.0,True,False
large_launcher,22,velocity,2,2,0.6666666666666666,False,True
large_launcher,23,hold,1,0,0.0,True,False
large_launcher,23,velocity,1,1,0.3333333333333333,False,True
large_tower,6,hold,18,0,0.0,True,False
large_tower,7,hold,17,0,0.0,True,False
large_tower,7,velocity,17,1,0.3333333333333333,True,False
large_tower,8,hold,16,0,0.0,True,False
large_tower,8,velocity,16,6,2.0,True,False
large_tower,9,hold,15,0,0.0,True,False
large_tower,9,velocity,15,6,2.0,True,False
large_tower,10,hold,14,0,0.0,True,False
large_tower,10,velocity,14,5,1.6666666666666667,True,False
large_tower,11,hold,13,0,0.0,True,False
large_tower,11,velocity,13,6,2.0,True,False
large_tower,12,hold,12,0,0.0,True,False
large_tower,12,velocity,12,6,2.0,True,False
large_tower,13,hold,11,0,0.0,True,False
large_tower,13,velocity,11,6,2.0,True,False
large_tower,14,hold,10,0,0.0,True,False
large_tower,14,velocity,10,6,2.0,True,False
large_tower,15,hold,9,0,0.0,True,False
large_tower,15,velocity,9,5,1.6666666666666667,True,False
large_tower,16,hold,8,0,0.0,True,False
large_tower,16,velocity,8,6,2.0,True,False
large_tower,17,hold,7,0,0.0,True,False
large_tower,17,velocity,7,5,1.6666666666666667,True,False
large_tower,18,hold,6,0,0.0,True,False
large_tower,18,velocity,6,5,1.6666666666666667,True,False
large_tower,19,hold,5,0,0.0,True,False
large_tower,19,velocity,5,5,1.6666666666666667,False,True
large_tower,20,hold,4,0,0.0,True,False
large_tower,20,velocity,4,4,1.3333333333333333,False,True
large_tower,21,hold,3,0,0.0,True,False
large_tower,21,velocity,3,3,1.0,False,True
large_tower,22,hold,2,0,0.0,True,False
large_tower,22,velocity,2,2,0.6666666666666666,False,True
large_tower,23,hold,1,0,0.0,True,False
large_tower,23,velocity,1,1,0.3333333333333333,False,True
medium_launcher,14,hold,9,0,0.0,True,False
medium_launcher,15,hold,8,0,0.0,True,False
medium_launcher,15,velocity,8,1,0.3333333333333333,True,False
medium_launcher,16,hold,7,0,0.0,True,False
medium_launcher,16,velocity,7,5,1.6666666666666667,True,False
medium_launcher,17,hold,6,0,0.0,True,False
medium_launcher,17,velocity,6,5,1.6666666666666667,True,False
medium_launcher,18,hold,5,0,0.0,True,False
medium_launcher,18,velocity,5,4,1.3333333333333333,True,False
medium_launcher,19,hold,4,0,0.0,True,False
medium_launcher,19,velocity,4,4,1.3333333333333333,False,True
medium_launcher,20,hold,3,0,0.0,True,False
medium_launcher,20,velocity,3,3,1.0,False,True
medium_launcher,21,hold,2,0,0.0,True,False
medium_launcher,21,velocity,2,2,0.6666666666666666,False,True
medium_launcher,22,hold,1,0,0.0,True,False
medium_launcher,22,velocity,1,1,0.3333333333333333,False,True
medium_plane,20,hold,4,0,0.0,True,False
medium_plane,21,hold,3,0,0.0,True,False
medium_plane,21,velocity,3,2,0.6666666666666666,True,False
medium_plane,22,hold,2,0,0.0,True,False
medium_plane,22,velocity,2,2,0.6666666666666666,False,True
medium_plane,23,hold,1,0,0.0,True,False
medium_plane,23,velocity,1,1,0.3333333333333333,False,True
mine_roller,0,hold,1,0,0.0,True,False
small_launcher,0,hold,24,0,0.0,True,False
small_launcher,1,hold,23,0,0.0,True,False
small_launcher,1,velocity,23,4,1.3333333333333333,True,False
small_launcher,2,hold,22,0,0.0,True,False
small_launcher,2,velocity,22,4,1.3333333333333333,True,False
small_launcher,3,hold,21,0,0.0,True,False
small_launcher,3,velocity,21,4,1.3333333333333333,True,False
small_launcher,4,hold,20,0,0.0,True,False
small_launcher,4,velocity,20,4,1.3333333333333333,True,False
small_launcher,5,hold,19,0,0.0,True,False
small_launcher,5,velocity,19,4,1.3333333333333333,True,False
small_launcher,6,hold,18,0,0.0,True,False
small_launcher,6,velocity,18,4,1.3333333333333333,True,False
small_launcher,7,hold,17,0,0.0,True,False
small_launcher,7,velocity,17,3,1.0,True,False
small_launcher,8,hold,16,0,0.0,True,False
small_launcher,8,velocity,16,4,1.3333333333333333,True,False
small_launcher,9,hold,15,0,0.0,True,False
small_launcher,9,velocity,15,3,1.0,True,False
small_launcher,10,hold,14,0,0.0,True,False
small_launcher,10,velocity,14,5,1.6666666666666667,True,False
small_launcher,11,hold,13,0,0.0,True,False
small_launcher,11,velocity,13,4,1.3333333333333333,True,False
small_launcher,12,hold,12,0,0.0,True,False
small_launcher,12,velocity,12,3,1.0,True,False
small_launcher,13,hold,11,0,0.0,True,False
small_launcher,13,velocity,11,3,1.0,True,False
small_launcher,14,hold,10,0,0.0,True,False
small_launcher,14,velocity,10,4,1.3333333333333333,True,False
small_launcher,15,hold,9,0,0.0,True,False
small_launcher,15,velocity,9,3,1.0,True,False
small_launcher,16,hold,8,0,0.0,True,False
small_launcher,16,velocity,8,3,1.0,True,False
small_launcher,17,hold,7,0,0.0,True,False
small_launcher,17,velocity,7,3,1.0,True,False
small_launcher,18,hold,6,0,0.0,True,False
small_launcher,18,velocity,6,4,1.3333333333333333,True,False
small_launcher,19,hold,5,0,0.0,True,False
small_launcher,19,velocity,5,3,1.0,True,False
small_launcher,20,hold,4,0,0.0,True,False
small_launcher,20,velocity,4,3,1.0,True,False
small_launcher,21,hold,3,0,0.0,True,False
small_launcher,21,velocity,3,3,1.0,False,True
small_launcher,22,hold,2,0,0.0,True,False
small_launcher,22,velocity,2,2,0.6666666666666666,False,True
small_launcher,23,hold,1,0,0.0,True,False
small_launcher,23,velocity,1,1,0.3333333333333333,False,True
small_plane,0,hold,8,0,0.0,True,False
small_plane,1,hold,7,0,0.0,True,False
small_plane,1,velocity,7,4,1.3333333333333333,True,False
small_plane,2,hold,6,0,0.0,True,False
small_plane,2,velocity,6,5,1.6666666666666667,True,False
small_plane,3,hold,5,0,0.0,True,False
small_plane,3,velocity,5,4,1.3333333333333333,True,False
small_plane,4,hold,4,0,0.0,True,False
small_plane,4,velocity,4,4,1.3333333333333333,False,True
small_plane,5,hold,3,0,0.0,True,False
small_plane,5,velocity,3,3,1.0,False,True
small_plane,6,hold,2,0,0.0,True,False
small_plane,6,velocity,2,2,0.6666666666666666,False,True
small_plane,7,hold,1,0,0.0,True,False
small_plane,7,velocity,1,1,0.3333333333333333,False,True
small_tower,0,hold,19,0,0.0,True,False
small_tower,1,hold,18,0,0.0,True,False
small_tower,1,velocity,18,5,1.6666666666666667,True,False
small_tower,2,hold,17,0,0.0,True,False
small_tower,2,velocity,17,6,2.0,True,False
small_tower,3,hold,16,0,0.0,True,False
small_tower,3,velocity,16,5,1.6666666666666667,True,False
small_tower,4,hold,15,0,0.0,True,False
small_tower,4,velocity,15,5,1.6666666666666667,True,False
small_tower,5,hold,14,0,0.0,True,False
small_tower,5,velocity,14,5,1.6666666666666667,True,False
small_tower,6,hold,13,0,0.0,True,False
small_tower,6,velocity,13,5,1.6666666666666667,True,False
small_tower,7,hold,12,0,0.0,True,False
small_tower,7,velocity,12,5,1.6666666666666667,True,False
small_tower,8,hold,11,0,0.0,True,False
small_tower,8,velocity,11,5,1.6666666666666667,True,False
small_tower,9,hold,10,0,0.0,True,False
small_tower,9,velocity,10,5,1.6666666666666667,True,False
small_tower,10,hold,9,0,0.0,True,False
small_tower,10,velocity,9,4,1.3333333333333333,True,False
small_tower,11,hold,8,0,0.0,True,False
small_tower,11,velocity,8,5,1.6666666666666667,True,False
small_tower,12,hold,7,0,0.0,True,False
small_tower,12,velocity,7,5,1.6666666666666667,True,False
small_tower,13,hold,6,0,0.0,True,False
small_tower,13,velocity,6,4,1.3333333333333333,True,False
small_tower,14,hold,5,0,0.0,True,False
small_tower,14,velocity,5,5,1.6666666666666667,False,True
small_tower,15,hold,4,0,0.0,True,False
small_tower,15,velocity,4,4,1.3333333333333333,False,True
small_tower,16,hold,3,0,0.0,True,False
small_tower,16,velocity,3,3,1.0,False,True
small_tower,17,hold,2,0,0.0,True,False
small_tower,17,velocity,2,2,0.6666666666666666,False,True
small_tower,18,hold,1,0,0.0,True,False
small_tower,18,velocity,1,1,0.3333333333333333,False,True
spacecraft,0,hold,22,0,0.0,True,False
spacecraft,1,hold,21,0,0.0,True,False
spacecraft,1,velocity,21,5,1.6666666666666667,True,False
spacecraft,2,hold,20,0,0.0,True,False
spacecraft,2,velocity,20,5,1.6666666666666667,True,False
spacecraft,3,hold,19,0,0.0,True,False
spacecraft,3,velocity,19,5,1.6666666666666667,True,False
spacecraft,4,hold,18,0,0.0,True,False
spacecraft,4,velocity,18,4,1.3333333333333333,True,False
spacecraft,5,hold,17,0,0.0,True,False
spacecraft,5,velocity,17,5,1.6666666666666667,True,False
spacecraft,6,hold,16,0,0.0,True,False
spacecraft,6,velocity,16,4,1.3333333333333333,True,False
spacecraft,7,hold,15,0,0.0,True,False
spacecraft,7,velocity,15,5,1.6666666666666667,True,False
spacecraft,8,hold,14,0,0.0,True,False
spacecraft,8,velocity,14,4,1.3333333333333333,True,False
spacecraft,9,hold,13,0,0.0,True,False
spacecraft,9,velocity,13,5,1.6666666666666667,True,False
spacecraft,10,hold,12,0,0.0,True,False
spacecraft,10,velocity,12,4,1.3333333333333333,True,False
