pair_id,size_bin,target_short_side_l0,source_class,source_frame,helsinki_background_id,hosted_background_id,hosted_background_type,target_x1,target_y1,target_x2,target_y2,target_pixels_equal,helsinki_rank_iou_030,hosted_rank_iou_030,rank_delta_iou_030,helsinki_score_iou_030,hosted_score_iou_030,score_delta_iou_030,score_ratio_iou_030,helsinki_max_iou,hosted_max_iou,iou_delta,helsinki_proposal_count,hosted_proposal_count,helsinki_background_proposals,hosted_background_proposals,crosses_out_of_top1_iou_030,crosses_into_top1_iou_030,crosses_out_of_top5_iou_030,crosses_into_top5_iou_030,crosses_out_of_top20_iou_030,crosses_into_top20_iou_030,crosses_below_production_threshold,crosses_above_production_threshold
p0047,gt16,24,large_launcher,9,frame_000024,00245,dense_urban_blocks,41.0,107.0,74.0,131.0,True,31,4,-27,0.0013709068298339844,0.002651393413543701,0.0012804865837097168,1.9340434782608695,0.7139916367005482,0.5975642395471147,-0.11642739715343353,1581,2843,1579,2840,False,False,False,True,False,True,False,False
p0048,lt8,6,small_launcher,12,frame_000000,00000,open_grass_road,193.0,500.0,199.0,508.0,True,,,0,0.0,0.0,0.0,,0.18840258536181553,0.2382099756716481,0.049807390309832555,2347,2979,2347,2979,False,False,False,False,False,False,False,False
p0049,lt8,6,small_launcher,12,frame_000009,00095,river_industrial,112.0,422.0,118.0,430.0,True,1751,,589,0.00011873245239257812,0.0,-0.00011873245239257812,0.0,0.3090907074990342,0.28201625255853335,-0.02707445494050087,2117,2339,2116,2339,False,False,False,False,False,False,False,False
p0050,lt8,6,small_launcher,12,frame_000014,00145,harbor_industrial,32.0,344.0,38.0,352.0,True,1940,,1388,0.00010004639625549316,0.0,-0.00010004639625549316,0.0,0.3589352601069355,0.1776689062911557,-0.1812663538157798,1942,3327,1941,3327,False,False,False,False,False,False,False,False
p0051,lt8,6,small_launcher,12,frame_000024,00245,dense_urban_blocks,32.0,266.0,38.0,274.0,True,,2,-2805,0.0,0.012769311666488647,0.012769311666488647,,0.009983404737883766,0.315486118634165,0.3055027138962812,1553,2806,1553,2805,False,False,False,True,False,True,False,True
p0052,8to16,12,small_launcher,12,frame_000000,00000,open_grass_road,192.0,185.0,204.0,201.0,True,1807,5,-1802,0.00013256072998046875,0.003235071897506714,0.003102511167526245,24.40445143884892,0.452626086835915,0.5077199176457377,0.055093830809822664,2341,2941,2340,2940,False,False,False,True,False,True,False,False
p0053,8to16,12,small_launcher,12,frame_000009,00095,river_industrial,32.0,262.0,44.0,278.0,True,358,,1979,0.0005100071430206299,0.0,-0.0005100071430206299,0.0,0.3319968019725566,0.19211567758882397,-0.13988112438373262,2099,2336,2098,2336,False,False,False,False,False,False,False,False
p0054,8to16,12,small_launcher,12,frame_000014,00145,harbor_industrial,916.0,492.0,928.0,508.0,True,,9,-3329,0.0,0.0011969804763793945,0.0011969804763793945,,0.07656128624398982,0.5528756577039408,0.4763143714599509,1935,3337,1935,3334,False,False,False,False,False,True,False,False
p0055,8to16,12,small_launcher,12,frame_000024,00245,dense_urban_blocks,112.0,262.0,124.0,278.0,True,308,726,418,0.00041869282722473145,0.000300675630569458,-0.00011801719665527344,0.7181294042280589,0.4032817709440269,0.37216815873376236,-0.03111361221026454,1577,2826,1575,2825,False,False,False,False,False,False,False,False
p0056,gt16,24,small_launcher,12,frame_000000,00000,open_grass_road,111.0,395.0,135.0,428.0,True,62,217,155,0.001223236322402954,0.0006128251552581787,-0.0006104111671447754,0.5009867218906079,0.7243411299007991,0.6013119499255305,-0.12302917997526863,2332,2979,2327,2975,False,False,False,False,False,False,False,False
p0057,gt16,24,small_launcher,12,frame_000009,00095,river_industrial,111.0,324.0,135.0,357.0,True,63,45,-18,0.0012322068214416504,0.0011136233806610107,-0.00011858344078063965,0.9037633628404199,0.6307058749684631,0.5742165693418466,-0.05648930562661647,2137,2369,2134,2366,False,False,False,False,False,False,False,False
p0058,gt16,24,small_launcher,12,frame_000014,00145,harbor_industrial,904.0,466.0,928.0,499.0,True,389,188,-201,0.0004519820213317871,0.0007455945014953613,0.0002936124801635742,1.6496109719108532,0.38286785923162425,0.5893248944457536,0.2064570352141294,1939,3365,1938,3360,False,False,False,False,False,False,False,False
p0059,gt16,24,small_launcher,12,frame_000024,00245,dense_urban_blocks,32.0,182.0,56.0,215.0,True,25,212,187,0.0015433430671691895,0.0007939338684082031,-0.0007494091987609863,0.5144247480013904,0.705237801900929,0.527450950168119,-0.17778685173280995,1552,2839,1548,2833,False,False,False,False,False,False,False,False
p0060,lt8,6,spacecraft,10,frame_000000,00000,open_grass_road,193.0,188.0,199.0,195.0,True,,,0,0.0,0.0,0.0,,0.22731006441267498,0.23823206639785097,0.010922001985175983,2339,2960,2339,2960,False,False,False,False,False,False,False,False
p0061,lt8,6,spacecraft,10,frame_000009,00095,river_industrial,32.0,266.0,38.0,273.0,True,1287,,1054,0.00017705559730529785,0.0,-0.00017705559730529785,0.0,0.45423174271284084,0.09813622804396235,-0.35609551466887845,2102,2340,2101,2340,False,False,False,False,False,False,False,False
p0062,lt8,6,spacecraft,10,frame_000014,00145,harbor_industrial,32.0,501.0,38.0,508.0,True,775,,2562,0.00029030442237854004,0.0,-0.00029030442237854004,0.0,0.3689705643042011,0.2130739180714993,-0.1558966462327018,1959,3336,1958,3336,False,False,False,False,False,False,False,False
p0063,lt8,6,spacecraft,10,frame_000024,00245,dense_urban_blocks,32.0,188.0,38.0,195.0,True,,,0,0.0,0.0,0.0,,0.0035644925087862547,0.23498724733305962,0.23142275482427335,1543,2809,1543,2809,False,False,False,False,False,False,False,False
p0064,8to16,12,spacecraft,10,frame_000000,00000,open_grass_road,192.0,417.0,204.0,430.0,True,30,1,-29,0.0023479163646698,0.017377078533172607,0.015029162168502808,7.401063681251031,0.49940606302267926,0.43902658723636934,-0.06037947578630992,2345,2948,2344,2947,False,True,False,True,False,True,False,True
p0065,8to16,12,spacecraft,10,frame_000009,00095,river_industrial,112.0,417.0,124.0,430.0,True,441,,1900,0.0004297792911529541,0.0,-0.0004297792911529541,0.0,0.47089052379006374,0.29710569790511926,-0.17378482588494448,2122,2340,2121,2340,False,False,False,False,False,False,False,False
p0066,8to16,12,spacecraft,10,frame_000014,00145,harbor_industrial,594.0,417.0,606.0,430.0,True,6,3,-3,0.3225964307785034,0.010804712772369385,-0.31179171800613403,0.03349297060198401,0.3439364883058224,0.5869129419866755,0.24297645368085313,1941,3330,1940,3328,False,False,False,True,False,False,False,False
p0067,8to16,12,spacecraft,10,frame_000024,00245,dense_urban_blocks,112.0,32.0,124.0,45.0,True,276,1,-275,0.0004659593105316162,0.09935116767883301,0.09888520836830139,213.2185481291973,0.3458586757664389,0.5811476656882266,0.2352889899217877,1566,2847,1565,2844,False,True,False,True,False,True,False,True
p0068,gt16,24,spacecraft,10,frame_000000,00000,open_grass_road,190.0,330.0,214.0,357.0,True,19,63,44,0.0036866366863250732,0.0010136067867279053,-0.002673029899597168,0.27494078559129526,0.6903928696756944,0.6619542455098256,-0.02843862416586873,2332,3023,2327,3019,False,False,False,False,True,False,False,False
p0069,gt16,24,spacecraft,10,frame_000009,00095,river_industrial,32.0,478.0,56.0,505.0,True,70,4,-66,0.0011705458164215088,0.0037728846073150635,0.0026023387908935547,3.223184051735112,0.7724220311026208,0.6963505501071181,-0.07607148099550265,2129,2360,2125,2357,False,False,False,True,False,True,False,False
p0070,gt16,24,spacecraft,10,frame_000014,00145,harbor_industrial,111.0,404.0,135.0,431.0,True,258,5,-253,0.0008697509765625,0.0014117956161499023,0.0005420446395874023,1.623218201754386,0.6643434139323018,0.6234485983178933,-0.04089481561440844,1975,3337,1972,3333,False,False,False,True,False,True,False,False
p0071,gt16,24,spacecraft,10,frame_000024,00245,dense_urban_blocks,111.0,256.0,135.0,283.0,True,6,3,-3,0.022460967302322388,0.0041668713092803955,-0.018294095993041992,0.1855161112695959,0.6388880161602197,0.5979557974408288,-0.0409322187193909,1589,2847,1583,2843,False,False,False,True,False,False,True,False
p0072,lt8,6,ta-ta,17,frame_000000,00000,open_grass_road,192.0,423.0,205.0,429.0,True,371,,2584,0.0006362795829772949,0.0,-0.0006362795829772949,0.0,0.3168824971826699,0.20166527374827667,-0.11521722343439325,2339,2954,2338,2954,False,False,False,False,False,False,False,False
p0073,lt8,6,ta-ta,17,frame_000009,00095,river_industrial,112.0,423.0,125.0,429.0,True,1210,30,-1180,0.00020498037338256836,0.0011914074420928955,0.0009864270687103271,5.812300087234661,0.31844416590358743,0.3081581627666333,-0.010286003136954103,2115,2341,2114,2340,False,False,False,False,False,False,False,False
p0074,lt8,6,ta-ta,17,frame_000014,00145,harbor_industrial,112.0,423.0,125.0,429.0,True,,,0,0.0,0.0,0.0,,0.23836529499845435,0.21913616815528028,-0.01922912684317407,1951,3317,1951,3317,False,False,False,False,False,False,False,False
p0075,lt8,6,ta-ta,17,frame_000024,00245,dense_urban_blocks,112.0,32.0,125.0,38.0,True,,,0,0.0,0.0,0.0,,0.1818791448642043,0.2939580287012416,0.11207888383703729,1549,2843,1549,2843,False,False,False,False,False,False,False,False
p0076,8to16,12,ta-ta,17,frame_000000,00000,open_grass_road,191.0,341.0,217.0,353.0,True,20,164,144,0.0034514665603637695,0.0008655190467834473,-0.0025859475135803223,0.2507684868580113,0.47976743080283074,0.33148080894863496,-0.14828662185419578,2337,2994,2335,2992,False,False,False,False,True,False,False,False
