backend,budget,image,sample_stride,state_reset,proposals_before_budget,proposals_after_budget,proposal_score_p10,proposal_score_p50,proposal_score_p90,recognition_crops,rejected_as_background,rejection_fraction,observations,top_class_distribution,top_posterior_p50,top_posterior_p90,objectness_p50,proposal_ms,recognition_ms,discovery_recognition_ms
v3_standard,24,00170.png,5,True,47,24,0.011254143714904786,0.017453134059906006,0.052697896957397454,24,11,0.4583333333333333,13,"{""condor"": 1, ""hangar"": 3, ""jammer"": 9, ""jet_plane"": 2, ""large_launcher"": 1, ""medium_plane"": 2, ""spacecraft"": 2, ""ta-ta"": 3, ""tank"": 1}",0.2297845,0.3259568,0.552458,166.7911999975331,269.09790000354405,435.88910000107717
v3_standard,24,00175.png,5,True,44,24,0.01119498312473297,0.019685059785842896,0.05881701111793522,24,13,0.5416666666666666,11,"{""helicopter"": 1, ""jammer"": 9, ""large_launcher"": 4, ""medium_launcher"": 2, ""medium_plane"": 3, ""small_tower"": 1, ""ta-ta"": 4}",0.21590399999999998,0.33824869999999996,0.46084400000000003,175.9235999925295,268.69940001051873,444.6230000030482
v3_standard,24,00180.png,5,True,45,24,0.011149483919143676,0.022645622491836548,0.11113400459289553,24,6,0.25,18,"{""hangar"": 2, ""jammer"": 6, ""large_launcher"": 4, ""medium_launcher"": 1, ""medium_plane"": 4, ""ta-ta"": 5, ""tank"": 2}",0.23946099999999998,0.3458159,0.6950775,161.86469999956898,251.8053000094369,413.6700000090059
v3_standard,24,00185.png,5,True,40,24,0.011811819672584534,0.016308754682540894,0.057869428396225,24,9,0.375,15,"{""condor"": 1, ""hangar"": 2, ""jammer"": 7, ""jet_plane"": 4, ""large_launcher"": 2, ""medium_plane"": 1, ""small_launcher"": 1, ""spacecraft"": 1, ""ta-ta"": 3, ""tank"": 2}",0.2400625,0.3835647,0.7811950000000001,176.12669999653008,264.7960000031162,440.9226999996463
v3_standard,24,00190.png,5,True,33,24,0.011501526832580567,0.019301027059555054,0.10148704648017885,24,8,0.3333333333333333,16,"{""condor"": 1, ""jammer"": 11, ""jet_plane"": 4, ""large_launcher"": 1, ""large_tower"": 1, ""medium_launcher"": 1, ""medium_plane"": 1, ""small_tower"": 1, ""spacecraft"": 1, ""ta-ta"": 2}",0.244018,0.4191646,0.7564295000000001,180.29789999127388,290.8365000039339,471.1343999952078
v3_standard,24,00195.png,5,True,37,24,0.011458677053451539,0.0157015323638916,0.06761263012886044,24,8,0.3333333333333333,16,"{""condor"": 1, ""hangar"": 2, ""jammer"": 11, ""jet_plane"": 3, ""large_launcher"": 2, ""medium_plane"": 1, ""ta-ta"": 4}",0.227302,0.38443109999999997,0.8721205000000001,170.5591999925673,270.7790999993449,441.3382999919122
v3_standard,24,00200.png,5,True,36,24,0.011421501636505127,0.02418103814125061,0.08894708752632141,24,6,0.25,18,"{""condor"": 1, ""hangar"": 1, ""jammer"": 6, ""large_launcher"": 2, ""medium_plane"": 5, ""small_tower"": 3, ""spacecraft"": 1, ""ta-ta"": 5}",0.250472,0.43946799999999997,0.8196559999999999,174.7453999996651,258.96940000529867,433.71480000496376
v3_standard,24,00205.png,5,True,36,24,0.011154219508171082,0.01711679995059967,0.1225816160440445,24,6,0.25,18,"{""hangar"": 1, ""jammer"": 7, ""large_launcher"": 1, ""medium_plane"": 6, ""small_tower"": 1, ""spacecraft"": 2, ""ta-ta"": 5, ""tank"": 1}",0.24911100000000003,0.43627559999999993,0.8856904999999999,162.22840000409633,221.32320000673644,383.5516000108328
v3_standard,24,00210.png,5,True,38,24,0.011255958676338195,0.020368725061416626,0.08338252007961276,24,1,0.041666666666666664,23,"{""condor"": 2, ""jammer"": 6, ""jet_plane"": 2, ""medium_plane"": 2, ""spacecraft"": 1, ""ta-ta"": 11}",0.269686,0.3970885,0.9370435,174.56220000167377,246.585499990033,421.14769999170676
v3_standard,24,00215.png,5,True,68,24,0.011413058638572693,0.01870657503604889,0.06560438871383674,24,2,0.08333333333333333,22,"{""jammer"": 4, ""jet_plane"": 2, ""medium_plane"": 1, ""spacecraft"": 2, ""ta-ta"": 15}",0.2694175,0.5380970999999999,0.9698245,181.96469999384135,258.1274999974994,440.09219999134075
v3_standard,24,00220.png,5,True,52,24,0.01182926893234253,0.02960534393787384,0.14776296615600584,24,6,0.25,18,"{""hangar"": 1, ""jammer"": 8, ""jet_plane"": 2, ""large_launcher"": 1, ""medium_plane"": 3, ""ta-ta"": 8, ""tank"": 1}",0.28314249999999996,0.4121499,0.8998394999999999,175.66969999461435,237.63200000394136,413.3016999985557
v3_standard,24,00225.png,5,True,32,24,0.011522990465164185,0.021659865975379944,0.055989223718643205,24,7,0.2916666666666667,17,"{""condor"": 1, ""hangar"": 1, ""jammer"": 6, ""jet_plane"": 3, ""large_launcher"": 3, ""large_tower"": 1, ""medium_launcher"": 2, ""spacecraft"": 2, ""ta-ta"": 3, ""tank"": 2}",0.216338,0.3150386,0.786149,171.94639999070205,267.50829999218695,439.454699982889
v3_standard,24,00230.png,5,True,26,24,0.011254444718360901,0.01745617389678955,0.050285547971725464,24,5,0.20833333333333334,19,"{""condor"": 1, ""hangar"": 1, ""jammer"": 3, ""jet_plane"": 3, ""large_launcher"": 3, ""large_tower"": 1, ""medium_plane"": 2, ""small_tower"": 2, ""ta-ta"": 5, ""tank"": 3}",0.204793,0.3139961,0.7172864999999999,168.80759999912698,234.3579000007594,403.1654999998864
v3_standard,24,00235.png,5,True,36,24,0.011318832635879517,0.019844114780426025,0.048095881938934326,24,10,0.4166666666666667,14,"{""condor"": 2, ""hangar"": 1, ""jammer"": 2, ""jet_plane"": 3, ""large_launcher"": 4, ""medium_plane"": 2, ""ta-ta"": 9, ""tank"": 1}",0.2029165,0.34660729999999995,0.6282095000000001,181.43359999521635,357.36829999950714,538.8018999947235
v3_standard,24,00240.png,5,True,57,24,0.011558014154434203,0.02259618043899536,0.06625379323959349,24,7,0.2916666666666667,17,"{""hangar"": 2, ""jammer"": 6, ""large_launcher"": 3, ""medium_plane"": 2, ""small_launcher"": 2, ""ta-ta"": 6, ""tank"": 3}",0.21713949999999999,0.4116395,0.7298855,162.52600000007078,218.63170000142418,381.15770000149496
v3_standard,24,00245.png,5,True,54,24,0.011778250336647034,0.018610209226608276,0.0519656151533127,24,7,0.2916666666666667,17,"{""condor"": 1, ""hangar"": 5, ""jammer"": 11, ""large_launcher"": 1, ""medium_plane"": 1, ""small_launcher"": 1, ""ta-ta"": 4}",0.2772255,0.41363099999999997,0.8871275000000001,177.7087000082247,280.6360999966273,458.344800004852
v3_standard,32,00000.png,5,True,94,32,0.010883715748786927,0.020147308707237244,0.10978474915027621,32,0,0.0,32,"{""jammer"": 16, ""jet_plane"": 1, ""large_launcher"": 5, ""large_tower"": 1, ""small_launcher"": 1, ""spacecraft"": 3, ""ta-ta"": 5}",0.234646,0.3438514000000001,0.989798,196.2238999985857,395.133199999691,591.3570999982767
