dataset,frame_index,record_present,sequence_id,request_frame,resolution_level,center_x,center_y,camera_decision_reason,camera_requested_level,camera_requested_center_x,camera_requested_center_y,camera_feedback_present,camera_feedback_reason,proposal_count,crops,rejected_as_background,rejection_fraction,mean_objectness,mean_margin,observation_count,observation_top_posterior_mean,bank_tracks,bank_matched,bank_created,bank_removed,confirmed_tracks,tentative_tracks,track_age_mean,track_age_max,track_identity_confidence_mean,track_posterior_gap_mean,output_candidates,output_emitted,output_dropped_invalid,output_distinct_classes,output_secondary_guesses,gmc_model,gmc_ok,gmc_reason,gmc_quality,gmc_inliers,gmc_candidates,gmc_inlier_ratio,gmc_translation_x,gmc_translation_y,gmc_translation_magnitude,total_latency_ms
hosted,28,True,c6ae6aa777ba4e949a81d31e46a5f55f,29,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.7139,0.0124,1,0.1551,3,1,0,0,2,1,1.0,2,0.10103333333333335,0.010700000000000006,9,9,0,7,6,affine,True,accepted,0.9932,290,292,0.9932,-14.64,52.24,54.25262389967881,113.86
hosted,29,True,c6ae6aa777ba4e949a81d31e46a5f55f,30,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9553,0.0001,1,0.1645,2,1,0,1,1,1,1.0,2,0.10735,0.012350000000000014,5,5,0,4,3,affine,True,accepted,0.9931,287,289,0.9931,-14.5,52.84,54.79339011231191,114.29
hosted,30,True,c6ae6aa777ba4e949a81d31e46a5f55f,31,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,1,1,0,1.0,1,0.1448,0.02440000000000002,3,3,0,3,2,affine,True,accepted,0.9896,285,288,0.9896,-14.56,52.53,54.51049898872694,92.37
hosted,31,True,c6ae6aa777ba4e949a81d31e46a5f55f,32,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,0,1,0,2.0,2,0.1448,0.02440000000000002,3,3,0,3,2,affine,True,accepted,1.0,292,292,1.0,-14.64,52.59,54.58972156001531,92.3
hosted,32,True,c6ae6aa777ba4e949a81d31e46a5f55f,33,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9617,0.0162,1,0.21,1,1,0,0,1,0,0.0,0,0.1493,0.024999999999999994,3,3,0,3,2,affine,True,accepted,0.9899,293,296,0.9899,-14.47,52.56,54.51545193795976,115.45
hosted,33,True,c6ae6aa777ba4e949a81d31e46a5f55f,34,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.8794,0.0109,1,0.1614,1,1,0,0,1,0,0.0,0,0.1432,0.017499999999999988,3,3,0,3,2,affine,True,accepted,0.9865,293,297,0.9865,-14.55,52.4,54.38255694613853,113.83
hosted,34,True,c6ae6aa777ba4e949a81d31e46a5f55f,35,0,1920,1080,hold-current-view,,,,False,,0,0,,,,,0,,1,0,0,0,1,0,1.0,1,0.1432,0.017499999999999988,3,3,0,3,2,affine,True,accepted,0.9932,294,296,0.9932,-14.36,52.6,54.52494475008663,92.08
hosted,35,True,c6ae6aa777ba4e949a81d31e46a5f55f,36,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.829,0.0145,3,0.22083333333333333,4,0,3,0,1,3,0.5,2,0.09522499999999999,0.006124999999999995,12,12,0,7,8,affine,True,accepted,1.0,299,299,1.0,-14.3,52.53,54.44162837388316,113.35
hosted,36,True,c6ae6aa777ba4e949a81d31e46a5f55f,37,0,1920,1080,hold-current-view,,,,False,,1,1,0,0.0,0.9243,0.0141,1,0.1612,4,0,1,1,0,4,0.75,1,0.07785,0.002224999999999998,12,12,0,6,8,affine,True,accepted,0.9899,293,296,0.9899,-14.43,52.32,54.27344930995265,114.49
hosted,37,True,c6ae6aa777ba4e949a81d31e46a5f55f,38,0,1920,1080,hold-current-view,,,,False,,3,3,0,0.0,0.8414,0.0185,3,0.19126666666666667,5,2,1,0,2,3,0.8,2,0.08202,0.00368,14,14,0,8,9,affine,True,accepted,0.9932,294,296,0.9932,-14.25,52.55,54.447819056414005,111.33
